차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Morning,내수,5209,5727,7215,5579,5228,6047,5626,5506,5790,5742,9256,8208,5523,6156,6343,5456,6436,6724,5367,5988,5595,5058,6010,5781,4487,4560,5353,5293,5022,4898,5161,5180,3829,5289,5333,4638,4126,3355,4720,4085,4306,3502,4622,4037,4333,4257,4675,4346,3103,3310,4126,2960,3452,3260,3949,3606,2437,2593,3032,2938,2578,2691,3480,3348,2967,3349,2767,1782,1937,1369,1941,2321,1534,1700,3559,2790,2258,2414,3278,2153,1940,2246,3356,2152,1813,2049,2127,2164,2502,2245,2033,2910,1892,2225,2111,1808,1214,1140,1416,1421,907,985,1335,910,968,1464,1467,2608,1484,765
Ray,내수,1710,1476,1815,1673,1385,1713,2069,1569,1393,1862,1694,1460,1091,1565,1924,1632,1694,1953,1577,1277,1493,1250,1997,3068,2645,2397,2713,2619,2282,1969,2272,2253,1562,2313,2191,1805,1989,2020,3202,2234,3712,3192,2169,1861,1968,2081,1610,1793,2146,1220,2631,2212,2405,2670,2540,2518,2294,2501,2759,2634,2646,2266,2967,3808,3608,3223,3325,1814,3030,3399,3028,2842,3598,3218,3566,3993,3788,3812,4125,2836,3860,3363,4098,4309,3585,4268,4155,4158,4576,4372,4285,4402,3464,4824,4587,4254,4130,3972,4692,4460,4456,3574,4384,3710,3363,3278,4753,4219,3876,4287
Pride,내수,286,316,380,411,341,442,308,390,224,356,343,361,179,265,289,191,408,390,304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K3,내수,2294,3517,3389,3300,3711,4091,2370,2614,2201,2781,3047,3539,1740,2048,2602,2804,2254,2612,1810,2171,2376,2585,2819,2344,1596,1975,5085,6925,5024,4074,3583,2668,2382,4114,3891,3197,4148,3392,3770,3626,3878,3859,3883,3252,3239,3137,4064,4139,1800,957,3509,2609,2029,2879,1487,1631,1693,1504,1947,1392,1346,1378,1823,2491,3147,3042,3147,1829,2130,1526,2342,2204,1792,1573,2020,2351,1726,1610,2468,800,838,1500,2114,2229,950,1024,1197,670,975,1540,976,1123,1036,939,1428,1346,1419,1315,1460,1336,995,1341,1373,588,4,,,,,
K5,내수,3858,3615,4255,3888,4516,4875,3174,3217,3315,3206,3326,3391,2004,2726,3673,3605,3377,3944,3185,2631,3141,2753,3788,3357,2826,3840,5043,4119,3612,3723,4145,3865,3310,4250,4951,4818,3287,2787,3466,3712,3114,3447,2874,2389,2599,2893,2848,6252,8048,4349,8193,7953,8136,10145,8463,3944,7485,5459,7343,5032,5440,5547,6882,6607,6034,5835,5777,4368,1998,1936,4483,4592,3342,2562,2642,2624,2618,2352,2859,2155,2055,2514,3208,2567,2560,2653,3421,2739,3166,2963,2246,2613,2280,2592,3783,3563,3336,2970,3577,3168,2405,2932,2702,2690,2277,3030,2645,2105,2583,2503
K7,내수,1373,6046,6256,5504,4669,5042,5086,3585,4353,3911,4072,6163,3743,4388,5445,4356,3849,4294,3566,2917,3410,3210,3734,3666,3348,3015,3309,3002,2890,3135,3281,3305,2996,3784,4741,4172,3000,2226,2652,2632,2142,4284,8173,6961,6176,6518,6000,5075,3939,2851,5045,4772,4464,5652,2715,2172,2344,1844,3253,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stinger,내수,,,,,,,,,,,,,,,,,370,1322,1040,711,765,741,718,455,484,448,468,463,669,593,621,437,332,438,366,381,324,292,438,339,475,311,267,262,264,267,200,205,157,194,387,189,164,305,279,195,466,480,366,343,279,378,312,364,252,269,277,203,127,240,241,225,166,164,218,235,206,184,112,157,57,184,193,108,113,120,143,61,45,1,,,,,,,,,,,,,,,,,,,,
K9,내수,270,201,271,245,231,285,160,148,154,199,182,209,164,149,137,109,107,194,167,77,78,73,147,151,127,39,47,1222,1705,1661,1455,1204,1008,1220,1073,1082,1047,906,1003,978,1000,921,1000,800,700,800,717,1006,612,671,861,545,601,855,790,579,556,567,572,622,433,435,450,412,504,614,798,672,559,546,453,329,487,537,1001,664,419,453,567,602,260,371,620,604,431,301,432,422,310,366,372,347,232,226,236,223,175,191,140,253,282,160,202,177,163,127,99,240,123,164
Stonic,내수,,,,,,,,,,,,,,,,,,,1342,1655,1932,1089,1302,1813,1987,1616,1625,1487,1004,1488,1266,1215,1039,1042,1377,1159,1025,823,899,1014,870,924,559,476,406,381,433,466,299,289,486,357,394,502,313,355,258,217,341,360,216,132,,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,내수,,,4,2440,2676,3246,2242,1135,2054,1668,1616,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niro,내수,,,,,,,,,,,,,973,1326,2183,1896,1922,1833,2228,1420,2418,1460,3062,2926,1516,1658,1982,1403,1687,1536,1908,2723,1999,2099,2280,2020,1209,1774,2771,2953,3080,3130,2620,1721,1414,1610,1741,2223,1141,1935,2279,2300,2227,2272,1418,1498,1661,1334,1888,1286,764,1070,1483,1318,1741,2312,1502,1900,1765,1896,1438,1315,1224,2569,2413,3613,2687,2882,1955,1489,1426,1098,1738,1684,1269,1588,2219,2120,1990,1992,1614,1694,1681,1595,1541,1256,1239,940,1051,1815,1709,1333,1199,1109,870,958,1162,1185,571,853
