공장명(국가),차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,Optima / K5,11094,13180,11514,9933,7197,9006,7170,9965,8192,9116,8410,7711,7459,7663,10101,8358,10467,12307,8100,10402,9070,6715,3846,1956,2392,6900,4426,6340,8805,5792,7141,11460,10090,9762,8667,9024,11626,7202,9268,8732,8203,7020,7597,7732,9415,8643,6801,6148,5926,6603,5256,1009,2437,3557,9633,8795,8783,9229,5464,5857,5858,7310,7962,7467,5914,7707,7476,6793,5202,5614,6970,5788,7223,5706,5494,6257,6136,5658,4207,6322,6030,4402,4237,2875,5701,6150,6635,5652,6396,5050,4771,6853,6150,6550,5900,3445,,,,,,,,,,,,,,
미국,Sorento,9473,10521,11105,12080,13903,14049,11552,16439,15200,15112,13672,11848,9070,10657,13504,8299,12288,11227,7400,11498,8430,13310,9854,6025,2908,9500,13080,13100,13595,10162,11064,13155,10310,14938,11946,6943,8374,9168,7306,8804,10323,5605,8888,10638,7907,12359,10205,8321,8431,8891,7206,102,2054,6341,5130,5143,4012,1144,10849,8108,7882,7309,8559,9182,5079,5651,4860,4160,3903,6971,6327,6704,5667,5446,5728,7113,7312,7927,5935,7940,7260,7037,6261,5758,6795,5330,5385,6184,7368,6416,5513,7491,6602,7097,6100,4825,6442,9849,10049,10150,10449,8650,8249,9380,9237,10520,7972,4718,8300,8135
미국,Telluride,,,,,,,,,,,,,,,,,,,,,,,,,0,4630,6331,6364,6574,5975,5415,6930,6178,7198,6294,5826,0,4630,6331,6364,6574,5975,5415,6930,6178,7198,6294,5826,7543,7606,5788,537,1585,5402,8037,9062,9605,10327,8487,8335,7090,8496,9279,8751,8207,9642,7064,9697,6300,8615,8203,7108,9112,7506,9325,8593,8789,9072,7116,10173,7788,11251,10396,7739,9704,10400,11851,10206,11212,8792,8216,12313,10698,11903,10300,7850,9172,10901,10401,11500,11401,10050,9851,12190,11302,12300,10118,8192,10350,11060
미국,New Santa Fe,5800,12140,10143,8092,11600,12927,6883,9602,8322,7182,6799,5570,5987,4281,6291,1893,10375,8611,6300,8408,6200,6275,5806,3548,3678,3542,3737,2567,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,Pegas,,,,,,,,,,,,,,,,,,,,,2792,2218,2984,2618,1605,1391,3143,3772,3316,3897,2357,1832,2769,5509,6294,7953,7052,4399,4857,4626,4528,6231,7832,5874,6710,5164,6324,2594,4193,793,5808,3651,1558,959,1331,1013,1813,1595,1855,1688,2117,1838,1668,2141,1503,2566,2483,2753,1377,1939,3904,2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,Sportage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053,10488,7542,8163,9143,6382,10365,10057,8810,8256,6950,6400,7950,9129,7358,8424,6142,5900,8450,7350,8150,7600,6150,8100,9920,9546,10735,10048,9300,8800,11520,10350,11150,9000,6720,9247,9763
미국,K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,30,4,15,2,0,0,0,,,,,,0
미국,EV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,130,1210,1170,300,50
미국,EV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,492
중국,K2,13232,12677,9166,7840,11031,9511,8027,8994,13556,16882,20177,23037,3793,4340,1855,2171,1681,4202,3743,5967,9758,11726,14600,15594,11725,8720,8222,9818,8416,6705,1762,2529,4880,5799,6323,8387,5496,3004,3201,1419,1079,2243,1049,2007,1370,71,19,-254,671,0,80,89,19,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
중국,Cerato,419,236,427,665,297,875,819,598,785,473,711,1486,143,390,763,631,836,936,325,422,817,648,871,950,684,646,507,400,1130,726,600,286,554,374,958,609,552,231,713,760,716,1092,63,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
중국,Forte,838,1540,581,389,459,131,204,1019,428,358,578,1090,29,222,775,901,1202,1048,443,65,26,771,1657,4039,245,189,2001,256,228,624,92,116,444,280,58,78,31,13,22,412,535,410,733,1676,2739,1833,842,916,980,17,920,898,1317,2442,3046,1399,2666,3047,2356,1006,1066,623,933,2044,2907,1781,2076,1124,333,550,1163,1303,2041,1265,2169,1562,2047,1946,2054,1232,1731,1729,1872,1478,588,1897,1935,2401,2353,2508,1989,2391,2437,2582,2262,1986,2227,1780,3438,1737,1093,1102,1219,786,953,970,1564,1880,1134,541
