거래 구분,차종 구분,2016년01,2016년02,2016년03,2016년04,2016년05,2016년06,2016년07,2016년08,2016년09,2016년10,2016년11,2016년12,2017년01,2017년02,2017년03,2017년04,2017년05,2017년06,2017년07,2017년08,2017년09,2017년10,2017년11,2017년12,2018년01,2018년02,2018년03,2018년04,2018년05,2018년06,2018년07,2018년08,2018년09,2018년10,2018년11,2018년12,2019년01,2019년02,2019년03,2019년04,2019년05,2019년06,2019년07,2019년08,2019년09,2019년10,2019년11,2019년12,2020년01,2020년02,2020년03,2020년04,2020년05,2020년06,2020년07,2020년08,2020년09,2020년10,2020년11,2020년12,2021년01,2021년02,2021년03,2021년04,2021년05,2021년06,2021년07,2021년08,2021년09,2021년10,2021년11,2021년12,2022년01,2022년02,2022년03,2022년04,2022년05,2022년06,2022년07,2022년08,2022년09,2022년10,2022년11,2022년12,2023년01,2023년02,2023년03,2023년04,2023년05,2023년06,2023년07,2023년08,2023년09,2023년10,2023년11,2023년12,2024년01,2024년02,2024년03,2024년04,2024년05,2024년06,2024년07,2024년08,2024년09,2024년10,2024년11,2024년12,2025년01,2025년02,,,,,,,,,,,,,,,,,
내수,Morning," 5,209 "," 5,727 "," 7,215 "," 5,579 "," 5,228 "," 6,047 "," 5,626 "," 5,506 "," 5,790 "," 5,742 "," 9,256 "," 8,208 "," 5,523 "," 6,156 "," 6,343 "," 5,456 "," 6,436 "," 6,724 "," 5,367 "," 5,988 "," 5,595 "," 5,058 "," 6,010 "," 5,781 "," 4,487 "," 4,560 "," 5,353 "," 5,293 "," 5,022 "," 4,898 "," 5,161 "," 5,180 "," 3,829 "," 5,289 "," 5,333 "," 4,638 "," 4,126 "," 3,355 "," 4,720 "," 4,085 "," 4,306 "," 3,502 "," 4,622 "," 4,037 "," 4,333 "," 4,257 "," 4,675 "," 4,346 "," 3,103 "," 3,310 "," 4,126 "," 2,960 "," 3,452 "," 3,260 "," 3,949 "," 3,606 "," 2,437 "," 2,593 "," 3,032 "," 2,938 "," 2,578 "," 2,691 "," 3,480 "," 3,348 "," 2,967 "," 3,349 "," 2,767 "," 1,782 "," 1,937 "," 1,369 "," 1,941 "," 2,321 "," 1,534 "," 1,700 "," 3,559 "," 2,790 "," 2,258 "," 2,414 "," 3,278 "," 2,153 "," 1,940 "," 2,246 "," 3,356 "," 2,152 "," 1,813 "," 2,049 "," 2,127 "," 2,164 "," 2,502 "," 2,245 "," 2,033 "," 2,910 "," 1,892 "," 2,225 "," 2,111 "," 1,808 "," 1,214 "," 1,140 "," 1,416 "," 1,421 ", 907 , 985 ," 1,335 ", 910 , 968 ," 1,464 "," 1,467 "," 2,608 "," 1,484 ", 765 ," 397,616 ",,,,,,,,,,,,,,,,
내수,Ray," 1,710 "," 1,476 "," 1,815 "," 1,673 "," 1,385 "," 1,713 "," 2,069 "," 1,569 "," 1,393 "," 1,862 "," 1,694 "," 1,460 "," 1,091 "," 1,565 "," 1,924 "," 1,632 "," 1,694 "," 1,953 "," 1,577 "," 1,277 "," 1,493 "," 1,250 "," 1,997 "," 3,068 "," 2,645 "," 2,397 "," 2,713 "," 2,619 "," 2,282 "," 1,969 "," 2,272 "," 2,253 "," 1,562 "," 2,313 "," 2,191 "," 1,805 "," 1,989 "," 2,020 "," 3,202 "," 2,234 "," 3,712 "," 3,192 "," 2,169 "," 1,861 "," 1,968 "," 2,081 "," 1,610 "," 1,793 "," 2,146 "," 1,220 "," 2,631 "," 2,212 "," 2,405 "," 2,670 "," 2,540 "," 2,518 "," 2,294 "," 2,501 "," 2,759 "," 2,634 "," 2,646 "," 2,266 "," 2,967 "," 3,808 "," 3,608 "," 3,223 "," 3,325 "," 1,814 "," 3,030 "," 3,399 "," 3,028 "," 2,842 "," 3,598 "," 3,218 "," 3,566 "," 3,993 "," 3,788 "," 3,812 "," 4,125 "," 2,836 "," 3,860 "," 3,363 "," 4,098 "," 4,309 "," 3,585 "," 4,268 "," 4,155 "," 4,158 "," 4,576 "," 4,372 "," 4,285 "," 4,402 "," 3,464 "," 4,824 "," 4,587 "," 4,254 "," 4,130 "," 3,972 "," 4,692 "," 4,460 "," 4,456 "," 3,574 "," 4,384 "," 3,710 "," 3,363 "," 3,278 "," 4,753 "," 4,219 "," 3,876 "," 4,287 "," 312,328 ",,,,,,,,,,,,,,,,
내수,Pride, 286 , 316 , 380 , 411 , 341 , 442 , 308 , 390 , 224 , 356 , 343 , 361 , 179 , 265 , 289 , 191 , 408 , 390 , 304 , 2 , - , - , - , - ,,,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6,186 ",,,,,,,,,,,,,,,,
내수,K3," 2,294 "," 3,517 "," 3,389 "," 3,300 "," 3,711 "," 4,091 "," 2,370 "," 2,614 "," 2,201 "," 2,781 "," 3,047 "," 3,539 "," 1,740 "," 2,048 "," 2,602 "," 2,804 "," 2,254 "," 2,612 "," 1,810 "," 2,171 "," 2,376 "," 2,585 "," 2,819 "," 2,344 "," 1,596 "," 1,975 "," 5,085 "," 6,925 "," 5,024 "," 4,074 "," 3,583 "," 2,668 "," 2,382 "," 4,114 "," 3,891 "," 3,197 "," 4,148 "," 3,392 "," 3,770 "," 3,626 "," 3,878 "," 3,859 "," 3,883 "," 3,252 "," 3,239 "," 3,137 "," 4,064 "," 4,139 "," 1,800 ", 957 ," 3,509 "," 2,609 "," 2,029 "," 2,879 "," 1,487 "," 1,631 "," 1,693 "," 1,504 "," 1,947 "," 1,392 "," 1,346 "," 1,378 "," 1,823 "," 2,491 "," 3,147 "," 3,042 "," 3,147 "," 1,829 "," 2,130 "," 1,526 "," 2,342 "," 2,204 "," 1,792 "," 1,573 "," 2,020 "," 2,351 "," 1,726 "," 1,610 "," 2,468 ", 800 , 838 ," 1,500 "," 2,114 "," 2,229 ", 950 ," 1,024 "," 1,197 ", 670 , 975 ," 1,540 ", 976 ," 1,123 "," 1,036 ", 939 ," 1,428 "," 1,346 "," 1,419 "," 1,315 "," 1,460 "," 1,336 ", 995 ," 1,341 "," 1,373 ", 588 , 4 ,,,, - ,," 247,818 ",,,,,,,,,,,,,,,,
내수,K5," 3,858 "," 3,615 "," 4,255 "," 3,888 "," 4,516 "," 4,875 "," 3,174 "," 3,217 "," 3,315 "," 3,206 "," 3,326 "," 3,391 "," 2,004 "," 2,726 "," 3,673 "," 3,605 "," 3,377 "," 3,944 "," 3,185 "," 2,631 "," 3,141 "," 2,753 "," 3,788 "," 3,357 "," 2,826 "," 3,840 "," 5,043 "," 4,119 "," 3,612 "," 3,723 "," 4,145 "," 3,865 "," 3,310 "," 4,250 "," 4,951 "," 4,818 "," 3,287 "," 2,787 "," 3,466 "," 3,712 "," 3,114 "," 3,447 "," 2,874 "," 2,389 "," 2,599 "," 2,893 "," 2,848 "," 6,252 "," 8,048 "," 4,349 "," 8,193 "," 7,953 "," 8,136 "," 10,145 "," 8,463 "," 3,944 "," 7,485 "," 5,459 "," 7,343 "," 5,032 "," 5,440 "," 5,547 "," 6,882 "," 6,607 "," 6,034 "," 5,835 "," 5,777 "," 4,368 "," 1,998 "," 1,936 "," 4,483 "," 4,592 "," 3,342 "," 2,562 "," 2,642 "," 2,624 "," 2,618 "," 2,352 "," 2,859 "," 2,155 "," 2,055 "," 2,514 "," 3,208 "," 2,567 "," 2,560 "," 2,653 "," 3,421 "," 2,739 "," 3,166 "," 2,963 "," 2,246 "," 2,613 "," 2,280 "," 2,592 "," 3,783 "," 3,563 "," 3,336 "," 2,970 "," 3,577 "," 3,168 "," 2,405 "," 2,932 "," 2,702 "," 2,690 "," 2,277 "," 3,030 "," 2,645 "," 2,105 "," 2,583 "," 2,503 "," 420,039 ",,,,,,,,,,,,,,,,
내수,K7," 1,373 "," 6,046 "," 6,256 "," 5,504 "," 4,669 "," 5,042 "," 5,086 "," 3,585 "," 4,353 "," 3,911 "," 4,072 "," 6,163 "," 3,743 "," 4,388 "," 5,445 "," 4,356 "," 3,849 "," 4,294 "," 3,566 "," 2,917 "," 3,410 "," 3,210 "," 3,734 "," 3,666 "," 3,348 "," 3,015 "," 3,309 "," 3,002 "," 2,890 "," 3,135 "," 3,281 "," 3,305 "," 2,996 "," 3,784 "," 4,741 "," 4,172 "," 3,000 "," 2,226 "," 2,652 "," 2,632 "," 2,142 "," 4,284 "," 8,173 "," 6,961 "," 6,176 "," 6,518 "," 6,000 "," 5,075 "," 3,939 "," 2,851 "," 5,045 "," 4,772 "," 4,464 "," 5,652 "," 2,715 "," 2,172 "," 2,344 "," 1,844 "," 3,253 "," 1,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 240,503 ",,,,,,,,,,,,,,,,
내수,Stinger,,,,,,,,,,,,, - , - ,, - , 370 ," 1,322 "," 1,040 ", 711 , 765 , 741 , 718 , 455 , 484 , 448 , 468 , 463 , 669 , 593 , 621 , 437 , 332 , 438 , 366 , 381 , 324 , 292 , 438 , 339 , 475 , 311 , 267 , 262 , 264 , 267 , 200 , 205 , 157 , 194 , 387 , 189 , 164 , 305 , 279 , 195 , 466 , 480 , 366 , 343 , 279 , 378 , 312 , 364 , 252 , 269 , 277 , 203 , 127 , 240 , 241 , 225 , 166 , 164 , 218 , 235 , 206 , 184 , 112 , 157 , 57 , 184 , 193 , 108 , 113 , 120 , 143 , 61 , 45 , 1 ,,,,,,,,,,,,,,,,,,,,," 24,625 ",,,,,,,,,,,,,,,,
내수,K9, 270 , 201 , 271 , 245 , 231 , 285 , 160 , 148 , 154 , 199 , 182 , 209 , 164 , 149 , 137 , 109 , 107 , 194 , 167 , 77 , 78 , 73 , 147 , 151 , 127 , 39 , 47 ," 1,222 "," 1,705 "," 1,661 "," 1,455 "," 1,204 "," 1,008 "," 1,220 "," 1,073 "," 1,082 "," 1,047 ", 906 ," 1,003 ", 978 ," 1,000 ", 921 ," 1,000 ", 800 , 700 , 800 , 717 ," 1,006 ", 612 , 671 , 861 , 545 , 601 , 855 , 790 , 579 , 556 , 567 , 572 , 622 , 433 , 435 , 450 , 412 , 504 , 614 , 798 , 672 , 559 , 546 , 453 , 329 , 487 , 537 ," 1,001 ", 664 , 419 , 453 , 567 , 602 , 260 , 371 , 620 , 604 , 431 , 301 , 432 , 422 , 310 , 366 , 372 , 347 , 232 , 226 , 236 , 223 , 175 , 191 , 140 , 253 , 282 , 160 , 202 , 177 , 163 , 127 , 99 , 240 , 123 , 164 ," 53,844 ",,,,,,,,,,,,,,,,
내수,Stonic,,,,,,,,,,,,, - ,,,,, - ," 1,342 "," 1,655 "," 1,932 "," 1,089 "," 1,302 "," 1,813 "," 1,987 "," 1,616 "," 1,625 "," 1,487 "," 1,004 "," 1,488 "," 1,266 "," 1,215 "," 1,039 "," 1,042 "," 1,377 "," 1,159 "," 1,025 ", 823 , 899 ," 1,014 ", 870 , 924 , 559 , 476 , 406 , 381 , 433 , 466 , 299 , 289 , 486 , 357 , 394 , 502 , 313 , 355 , 258 , 217 , 341 , 360 , 216 , 132 , - , - , - ,,,,-1 ,,, 1 , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 38,233 ",,,,,,,,,,,,,,,,
내수,DE, - , - , 4 ," 2,440 "," 2,676 "," 3,246 "," 2,242 "," 1,135 "," 2,054 "," 1,668 "," 1,616 "," 1,629 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 18,710 ",,,,,,,,,,,,,,,,
