공장명(국가),공장코드,차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,KMMG,Optima / K5,11094.0,13180.0,11514.0,9933.0,7197.0,9006.0,7170.0,9965.0,8192.0,9116.0,8410.0,7711.0,7459.0,7663.0,10101.0,8358 ,10467.0,12307.0,8100.0,10402.0,9070.0,6715.0,3846.0,1956.0,2392.0,6900.0,4426.0,6340.0,8805.0,5792.0,7141.0,11460.0,10090.0,9762.0,8667.0,9024.0,11626.0,7202.0,9268.0,8732.0,8203.0,7020.0,7597.0,7732.0,9415.0,8643.0,6801.0,6148 ,5926.0,6603.0,5256.0,1009.0,2437.0,3557.0,9633.0,8795.0,8783.0,9229.0,5464.0,5857.0,5858.0,7310.0,7962.0,7467.0,5914.0,7707.0,7476.0,6793.0,5202.0,5614.0,6970.0,5788.0,7223.0,5706.0,5494.0,6257.0,6136.0,5658.0,4207.0,6322.0,6030.0,4402.0,4237.0,2875.0,5701.0,6150.0,6635.0,5652.0,6396.0,5050.0,4771.0,6853.0,6150.0,6550.0,5900.0,3445.0,,,,,,,,,,,,,,
미국,KMMG,Sorento,9473.0,10521.0,11105.0,12080.0,13903.0,14049.0,11552.0,16439.0,15200.0,15112.0,13672.0,11848.0,9070.0,10657.0,13504.0,8299 ,12288.0,11227.0,7400.0,11498.0,8430.0,13310.0,9854.0,6025.0,2908.0,9500.0,13080.0,13100.0,13595.0,10162.0,11064.0,13155.0,10310.0,14938.0,11946.0,6943.0,8374.0,9168.0,7306.0,8804.0,10323.0,5605.0,8888.0,10638.0,7907.0,12359.0,10205.0,8321 ,8431.0,8891.0,7206.0,102.0,2054.0,6341.0,5130.0,5143.0,4012.0,1144.0,10849.0,8108.0,7882.0,7309.0,8559.0,9182.0,5079.0,5651.0,4860.0,4160.0,3903.0,6971.0,6327.0,6704.0,5667.0,5446.0,5728.0,7113.0,7312.0,7927.0,5935.0,7940.0,7260.0,7037.0,6261.0,5758.0,6795.0,5330.0,5385.0,6184.0,7368.0,6416.0,5513.0,7491.0,6602.0,7097.0,6100.0,4825.0,6442.0,9849.0,10049.0,10150.0,10449.0,8650.0,8249.0,9380.0,9237.0,10520.0,7972.0,4718.0,8300.0,8135.0
미국,KMMG,Telluride,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4630.0,6331.0,6364.0,6574.0,5975.0,5415.0,6930.0,6178.0,7198.0,6294.0,5826.0,0.0,4630.0,6331.0,6364.0,6574.0,5975.0,5415.0,6930.0,6178.0,7198.0,6294.0,5826 ,7543.0,7606.0,5788.0,537.0,1585.0,5402.0,8037.0,9062.0,9605.0,10327.0,8487.0,8335.0,7090.0,8496.0,9279.0,8751.0,8207.0,9642.0,7064.0,9697.0,6300.0,8615.0,8203.0,7108.0,9112.0,7506.0,9325.0,8593.0,8789.0,9072.0,7116.0,10173.0,7788.0,11251.0,10396.0,7739.0,9704.0,10400.0,11851.0,10206.0,11212.0,8792.0,8216.0,12313.0,10698.0,11903.0,10300.0,7850.0,9172.0,10901.0,10401.0,11500.0,11401.0,10050.0,9851.0,12190.0,11302.0,12300.0,10118.0,8192.0,10350.0,11060.0
미국,KMMG,New Santa Fe,5800.0,12140.0,10143.0,8092.0,11600.0,12927.0,6883.0,9602.0,8322.0,7182.0,6799.0,5570.0,5987.0,4281.0,6291.0,1893 ,10375.0,8611.0,6300.0,8408.0,6200.0,6275.0,5806.0,3548.0,3678.0,3542.0,3737.0,2567.0,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,KMMG,Pegas,,,,,,,,,,,,,,,,,,,,,2792.0,2218.0,2984.0,2618.0,1605.0,1391.0,3143.0,3772.0,3316.0,3897.0,2357.0,1832.0,2769.0,5509.0,6294.0,7953.0,7052.0,4399.0,4857.0,4626.0,4528.0,6231.0,7832.0,5874.0,6710.0,5164.0,6324.0,2594 ,4193.0,793.0,5808.0,3651.0,1558.0,959.0,1331.0,1013.0,1813.0,1595.0,1855.0,1688.0,2117.0,1838.0,1668.0,2141.0,1503.0,2566.0,2483.0,2753.0,1377.0,1939.0,3904.0,2763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미국,KMMG,Sportage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3053.0,10488.0,7542.0,8163.0,9143.0,6382.0,10365.0,10057.0,8810.0,8256.0,6950.0,6400.0,7950.0,9129.0,7358.0,8424.0,6142.0,5900.0,8450.0,7350.0,8150.0,7600.0,6150.0,8100.0,9920.0,9546.0,10735.0,10048.0,9300.0,8800.0,11520.0,10350.0,11150.0,9000.0,6720.0,9247.0,9763.0
미국,KMMG,K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.0,30.0,4.0,15.0,2.0,0.0,0.0,0.0,,,,,,0.0
미국,KMMG,EV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,130.0,1210.0,1170.0,300.0,50.0
미국,KMMG,EV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,492.0
중국,DYK,K2,13232.0,12677.0,9166.0,7840.0,11031.0,9511.0,8027.0,8994.0,13556.0,16882.0,20177.0,23037.0,3793.0,4340.0,1855.0,2171 ,1681.0,4202.0,3743.0,5967.0,9758.0,11726.0,14600.0,15594.0,11725.0,8720.0,8222.0,9818.0,8416.0,6705.0,1762.0,2529.0,4880.0,5799.0,6323.0,8387.0,5496.0,3004.0,3201.0,1419.0,1079.0,2243.0,1049.0,2007.0,1370.0,71.0,19.0,(254),671.0,0.0,80.0,89.0,19.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
