차량 구분,연도,월,수출량,차종,거래 유형,판매량,공장명(국가),공장 코드,공장판매량,현지판매량,지역명
일반 차량,2023,10월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,11월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,12월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,1월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,2월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,3월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,4월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,5월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,6월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,7월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,8월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
일반 차량,2023,9월,0.0,Accent (HC),내수,0.0,Mexico Plant,KMX,0.0,0.0,아시아/태평양
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,미국
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,캐나다
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,멕시코
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,유럽연합+EFTA
CKD(모듈형 조립 방식),2023,10월,840.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,동유럽/구소련
CKD(모듈형 조립 방식),2023,10월,720.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,중남미
CKD(모듈형 조립 방식),2023,10월,971.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,중동/아프리카
CKD(모듈형 조립 방식),2023,10월,3324.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,아시아/태평양
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,중국
CKD(모듈형 조립 방식),2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,인도
상업용 차량,2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,미국
상업용 차량,2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,캐나다
상업용 차량,2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,멕시코
상업용 차량,2023,10월,0.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,유럽연합+EFTA
상업용 차량,2023,10월,537.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,동유럽/구소련
상업용 차량,2023,10월,1058.0,Bongo / Frontier,내수,0.0,China Plants,DYK,0.0,0.0,중남미
