지역명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
아프리카,특수 차량,Bongo,0.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2023
아프리카,특수 차량,Bongo,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,45.0,0.0,0.0,0.0,2024
아프리카,특수 차량,Bongo,0.0,,,,,,,,,,,,2025
아프리카,특수 차량,Bongo (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,특수 차량,Bongo (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,특수 차량,Bongo (CKD),0.0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),Bongo / Frontier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Bongo / Frontier,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Bongo / Frontier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,Bongo / Frontier,189.0,186.0,231.0,160.0,161.0,231.0,75.0,147.0,145.0,201.0,142.0,99.0,2024
아프리카,한국,Bongo / Frontier,117.0,,,,,,,,,,,,2025
아프리카,한국,Bongo / Frontier,185.0,295.0,289.0,185.0,274.0,160.0,190.0,178.0,213.0,167.0,151.0,144.0,2023
아프리카,한국,Bongo EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Bongo EV,0.0,,,,,,,,,,,,2025
아프리카,한국,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,한국,Bus,0.0,,,,,,,,,,,,2025
아프리카,한국,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,특수 차량,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,특수 차량,Bus,0.0,,,,,,,,,,,,2025
아프리카,특수 차량,Bus (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,특수 차량,Bus (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,특수 차량,Bus (CKD),0.0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),Carens MPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),Carens MPV,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),Carens MPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,인도,Carens MPV,48.0,26.0,101.0,25.0,18.0,65.0,16.0,33.0,47.0,44.0,38.0,40.0,2024
아프리카,인도,Carens MPV,25.0,,,,,,,,,,,,2025
