차종,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Accent,승용차,16,12,14.0,10.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2023
Veloster,승용차,11,11,11.0,11.0,12.0,8.0,11.0,11.0,9.0,11.0,11.0,11.0,2023
Elantra,승용차,8655,10371,13447.0,13236.0,11179.0,13424.0,11898.0,11262.0,9405.0,9456.0,8813.0,8577.0,2023
IONIQ,승용차,2931,3236,4097.0,3866.0,4103.0,3810.0,3706.0,4162.0,3709.0,3822.0,4213.0,4437.0,2023
Sonata,승용차,4873,4307,3779.0,4689.0,4321.0,3834.0,3209.0,3397.0,3401.0,3779.0,3779.0,3222.0,2023
G70,승용차,804,1104,1057.0,1139.0,1156.0,1353.0,1310.0,1394.0,1104.0,982.0,1104.0,897.0,2023
G80 (RG3),승용차,348,348,296.0,383.0,370.0,348.0,400.0,348.0,300.0,369.0,322.0,378.0,2023
G80 (RG3 EV),승용차,111,111,111.0,94.0,120.0,119.0,111.0,107.0,137.0,103.0,111.0,111.0,2023
G90,승용차,105,111,140.0,120.0,113.0,114.0,108.0,119.0,92.0,112.0,125.0,130.0,2023
Venue,휴양용 차량,2441,2537,2334.0,2648.0,2413.0,2695.0,2581.0,2197.0,1732.0,1757.0,1716.0,1667.0,2023
Kona,휴양용 차량,5826,6080,7314.0,6831.0,5613.0,6261.0,6123.0,5777.0,6693.0,7927.0,6991.0,7680.0,2023
Tucson,휴양용 차량,17469,14031,20111.0,18676.0,18038.0,17707.0,17534.0,16242.0,18813.0,15638.0,21382.0,19424.0,2023
Santa Cruz (Tucson O/B),휴양용 차량,2614,2868,3825.0,3590.0,3526.0,3627.0,2903.0,3079.0,3051.0,2555.0,2396.0,2641.0,2023
Nexo,휴양용 차량,16,20,21.0,16.0,16.0,20.0,20.0,18.0,16.0,23.0,20.0,25.0,2023
IONIQ 5,휴양용 차량,2826,2074,2114.0,2323.0,2446.0,3136.0,2826.0,3572.0,2826.0,2979.0,2372.0,3261.0,2023
IONIQ 6,휴양용 차량,999,882,1240.0,890.0,971.0,1162.0,1240.0,1240.0,1240.0,1239.0,1386.0,1240.0,2023
Santa Fe,휴양용 차량,10964,7993,13236.0,10953.0,10039.0,11624.0,10612.0,11732.0,12676.0,9700.0,13497.0,12215.0,2023
Palisade,휴양용 차량,6684,6742,6176.0,6959.0,7013.0,5873.0,5752.0,6107.0,7551.0,7071.0,9185.0,7459.0,2023
GV60,휴양용 차량,283,283,212.0,267.0,276.0,265.0,261.0,258.0,283.0,353.0,283.0,283.0,2023
GV70,휴양용 차량,2026,1762,2100.0,2219.0,2047.0,1745.0,2416.0,2293.0,1828.0,1885.0,2028.0,2590.0,2023
GV70 EV,휴양용 차량,155,155,155.0,161.0,187.0,133.0,109.0,158.0,166.0,174.0,155.0,155.0,2023
GV80,휴양용 차량,1207,1241,1491.0,1474.0,1336.0,1506.0,1499.0,1938.0,1991.0,1790.0,2084.0,1641.0,2023
Accent,승용차,2931,3236,4097.0,3866.0,4103.0,3810.0,3706.0,4162.0,3709.0,3822.0,4213.0,4437.0,2024
Veloster,승용차,2931,3236,4097.0,3866.0,4103.0,3810.0,3706.0,4162.0,3709.0,3822.0,4213.0,4437.0,2024
Elantra,승용차,11392,8432,11528.0,10102.0,13311.0,12016.0,13764.0,14379.0,11186.0,12151.0,11344.0,11585.0,2024
IONIQ,승용차,2931,3236,4097.0,3866.0,4103.0,3810.0,3706.0,4162.0,3709.0,3822.0,4213.0,4437.0,2024
Sonata,승용차,5779,4379,5664.0,5348.0,6700.0,5935.0,5755.0,5953.0,5575.0,6300.0,6971.0,5779.0,2024
G70,승용차,986,1022,1020.0,1035.0,931.0,838.0,850.0,1055.0,1137.0,1016.0,1022.0,1156.0,2024
G80 (RG3),승용차,229,320,313.0,321.0,388.0,313.0,250.0,311.0,257.0,268.0,362.0,320.0,2024
G80 (RG3 EV),승용차,33,26,33.0,33.0,33.0,33.0,24.0,33.0,33.0,33.0,29.0,29.0,2024
G90,승용차,125,100,140.0,125.0,95.0,125.0,112.0,118.0,90.0,125.0,150.0,158.0,2024
Venue,휴양용 차량,2051,1959,2538.0,2401.0,2494.0,2544.0,2400.0,2470.0,1602.0,1444.0,1521.0,1799.0,2024
Kona,휴양용 차량,6577,7024,6848.0,8273.0,8308.0,6904.0,6713.0,6112.0,5144.0,5685.0,6133.0,5846.0,2024
Tucson,휴양용 차량,17177,15999,18394.0,15685.0,17371.0,13581.0,16135.0,20864.0,16802.0,19829.0,20178.0,20172.0,2024
Santa Cruz (Tucson O/B),휴양용 차량,2487,2568,3362.0,2956.0,2669.0,2969.0,2615.0,2486.0,2125.0,2427.0,2393.0,2042.0,2024
Nexo,휴양용 차량,9,11,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,2024
IONIQ 5,휴양용 차량,3696,3696,3361.0,3702.0,4434.0,3746.0,3413.0,3696.0,3326.0,4498.0,3696.0,4595.0,2024
IONIQ 5 Robo Taxi,휴양용 차량,14,13,13.0,10.0,15.0,13.0,13.0,13.0,10.0,13.0,13.0,13.0,2024
IONIQ 6,휴양용 차량,760,902,1022.0,1253.0,1099.0,914.0,778.0,808.0,1022.0,837.0,1121.0,1209.0,2024
Santa Fe,휴양용 차량,9918,9239,10834.0,9728.0,10997.0,9803.0,8989.0,10152.0,7918.0,9644.0,12376.0,9918.0,2024
Palisade,휴양용 차량,7638,7832,9785.0,9142.0,10147.0,9203.0,8635.0,11208.0,8202.0,8983.0,8982.0,10298.0,2024
GV60,휴양용 차량,239,239,239.0,254.0,262.0,237.0,296.0,296.0,180.0,203.0,285.0,239.0,2024
GV70,휴양용 차량,2245,1760,1684.0,2245.0,1894.0,2001.0,2483.0,2245.0,2343.0,2594.0,2245.0,2245.0,2024
GV70 EV,휴양용 차량,248,248,248.0,248.0,248.0,248.0,198.0,178.0,248.0,248.0,248.0,248.0,2024
GV80,휴양용 차량,2025,1420,2270.0,1939.0,1604.0,1780.0,1981.0,2344.0,2386.0,2446.0,2394.0,2025.0,2024
Accent,승용차,2931,3236,,,,,,,,,,,2025
Veloster,승용차,2931,3236,,,,,,,,,,,2025
Elantra,승용차,8866,8732,,,,,,,,,,,2025
IONIQ,승용차,2931,3236,,,,,,,,,,,2025
Sonata,승용차,4757,6542,,,,,,,,,,,2025
G70,승용차,1032,769,,,,,,,,,,,2025
G80 (RG3),승용차,257,197,,,,,,,,,,,2025
G80 (RG3 EV),승용차,20,22,,,,,,,,,,,2025
G90,승용차,215,215,,,,,,,,,,,2025
Venue,휴양용 차량,2931,2931,,,,,,,,,,,2025
Kona,휴양용 차량,4365,4922,,,,,,,,,,,2025
Tucson,휴양용 차량,15025,13467,,,,,,,,,,,2025
Santa Cruz (Tucson O/B),휴양용 차량,2947,2947,,,,,,,,,,,2025
Nexo,휴양용 차량,2931,3236,,,,,,,,,,,2025
IONIQ 5,휴양용 차량,2249,2658,,,,,,,,,,,2025
IONIQ 5 Robo Taxi,휴양용 차량,16,14,,,,,,,,,,,2025
IONIQ 6,휴양용 차량,871,769,,,,,,,,,,,2025
Santa Fe,휴양용 차량,8296,8732,,,,,,,,,,,2025
Palisade,휴양용 차량,6687,7399,,,,,,,,,,,2025
GV60,휴양용 차량,189,236,,,,,,,,,,,2025
GV70,휴양용 차량,2950,2950,,,,,,,,,,,2025
GV70 EV,휴양용 차량,195,237,,,,,,,,,,,2025
GV80,휴양용 차량,2932,2932,,,,,,,,,,,2025
