지역명,대륙,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,북미," 25,137 "," 25,043 "," 33,449 "," 31,844 "," 29,978 "," 31,718 "," 26,435 ","13,014 ","16,865 ","23,793 ","36,028 ","42,458 "," 23,030 "," 24,708 "," 35,381 "," 32,842 "," 32,920 "," 38,400 "," 32,062 ","15,220 ","18,038 ","16,473 ","23,681 ","14,263 "," 22,743 "," 20,041 "," 25,903 "," 24,159 "," 21,547 "," 21,896 "," 20,985 ","25,149 ","26,588 ","36,188 ","34,610 ","32,678 "," 28,184 "," 20,758 "," 32,594 "," 32,716 "," 35,492 "," 41,291 "," 31,020 ","28,846 ","24,952 ","45,019 ","40,067 ","38,913 "," 25,983 "," 21,373 "," 33,990 "," 17,480 "," 12,928 "," 34,447 "," 40,847 ","25,683 ","37,560 ","39,054 ","39,413 ","33,875 "," 33,889 "," 23,117 "," 35,001 "," 37,500 "," 25,180 "," 29,863 "," 29,403 ","24,757 ","26,230 ","33,042 ","34,150 ","33,948 "," 30,094 "," 30,072 "," 36,663 "," 38,730 "," 39,607 "," 33,930 "," 50,201 ","36,086 ","48,243 ","44,667 ","52,477 ","49,566 "," 33,157 "," 44,040 "," 44,161 "," 43,894 "," 51,132 "," 47,682 "," 46,768 "," 46,840 "," 49,241 "," 57,589 "," 58,435 "," 58,183 ",55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802,41454," 48,996 "
캐나다,북미," 8,833 "," 8,909 "," 10,800 "," 10,290 "," 7,291 "," 8,528 "," 6,957 ","4,530 ","2,887 ","5,398 ","8,475 ","8,151 "," 7,082 "," 7,153 "," 9,266 "," 10,747 "," 10,063 "," 11,574 "," 10,057 ","5,027 ","7,336 ","5,949 ","5,920 ","3,437 "," 5,422 "," 6,527 "," 9,638 "," 9,075 "," 11,907 "," 9,845 "," 7,219 ","7,871 ","5,712 ","9,004 ","6,743 ","9,785 "," 9,411 "," 6,852 "," 7,898 "," 11,800 "," 11,650 "," 13,609 "," 11,459 ","8,861 ","5,958 ","8,808 ","7,377 ","6,610 "," 10,216 "," 5,478 "," 8,361 "," 1,783 "," 4,827 "," 8,086 "," 11,445 ","6,588 ","8,140 ","15,012 ","8,964 ","10,236 "," 10,943 "," 7,551 "," 12,820 "," 10,299 "," 6,771 "," 6,254 "," 8,516 ","5,329 ","6,444 ","6,737 ","9,321 ","9,096 "," 8,555 "," 7,274 "," 8,626 "," 10,174 "," 8,580 "," 7,663 "," 7,054 ","7,816 ","7,762 ","8,790 ","6,792 ","9,368 "," 9,824 "," 11,958 "," 11,464 "," 10,792 "," 10,478 "," 11,495 "," 8,383 "," 6,155 "," 6,143 "," 9,776 "," 10,729 "," 11,805 ",11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807,10472," 10,762 "
멕시코,북미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 110 , 24 , 7 , 180 , 45 , 31 , 30 ,20 ,59 ,- ,- ,2 , 2 , 1 , - , 32 , 30 , - , - ,- ,- ,- ,- ,- , - , 11 , 91 , - , 20 , - , - ,50 ,49 ,51 ,- ,139 , 8 , 82 , 57 , 45 , 69 , 31 , 202 , 216 , 75 , 130 , 200 , 112 ,60,51,287,373,194,150,143,146,189,153,121,72,29, 83 
서유럽,유럽," 4,034 "," 3,027 "," 3,482 "," 3,279 "," 3,417 "," 3,537 "," 4,212 ","3,571 ","3,741 ","5,541 ","6,837 ","5,035 "," 5,238 "," 5,986 "," 5,668 "," 5,491 "," 5,169 "," 5,638 "," 3,791 ","3,218 ","10,608 ","9,431 ","13,232 ","7,229 "," 8,012 "," 7,263 "," 10,622 "," 12,986 "," 8,543 "," 12,346 "," 8,017 ","11,275 ","13,536 ","13,874 ","16,092 ","12,737 "," 12,479 "," 7,893 "," 15,735 "," 12,946 "," 11,817 "," 11,049 "," 18,074 ","11,868 ","12,039 ","18,170 ","14,267 ","19,064 "," 14,603 "," 8,157 "," 16,357 "," 11,389 "," 10,008 "," 11,922 "," 12,482 ","5,489 ","7,799 ","11,909 ","11,004 ","8,782 "," 11,099 "," 10,883 "," 12,861 "," 12,232 "," 8,832 "," 11,368 "," 11,456 ","9,241 ","9,979 ","12,026 ","9,354 ","11,251 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동유럽,유럽," 1,229 "," 2,148 "," 4,877 ", 466 ," 1,397 "," 2,343 "," 1,742 ","2,363 ","2,287 ","3,911 ","3,085 ","4,480 "," 2,140 "," 2,120 "," 2,684 "," 2,491 "," 2,190 "," 2,454 "," 2,383 ","1,762 ","2,024 ","2,560 ","3,172 ","1,967 "," 2,365 "," 2,698 "," 2,186 "," 2,102 "," 2,629 "," 2,856 "," 3,016 ","3,524 ","3,014 ","2,507 ","3,526 ","2,446 "," 3,995 "," 3,311 "," 4,119 "," 3,544 "," 3,402 "," 3,719 "," 2,819 ","2,732 ","2,499 ","2,202 ","2,632 ","2,566 "," 3,375 "," 1,810 "," 3,090 "," 2,155 "," 1,360 "," 1,240 "," 1,698 ","1,181 ","1,944 ","2,636 ","3,455 ","3,253 "," 3,899 "," 4,925 "," 4,581 "," 6,067 "," 6,080 "," 6,337 "," 5,491 ","4,857 ","4,673 ","4,756 ","5,846 ","9,219 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽 (자회사),유럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 7,613 "," 9,077 "," 9,467 "," 10,153 "," 10,657 "," 6,984 "," 9,869 ","8,955 ","8,447 ","9,301 ","7,916 ","14,195 "," 8,949 "," 14,775 "," 12,550 "," 11,058 "," 12,274 "," 13,248 "," 8,080 "," 5,970 "," 6,476 "," 6,753 "," 7,476 "," 6,762 ",7172,8467,8538,10326,7889,7881,6881,6457,6214,7967,8753,10033,8298," 8,975 "
유럽 (유통업체),유럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2,969 "," 2,196 ", 892 ," 1,283 "," 1,575 "," 1,262 "," 1,495 ","1,728 ","3,405 ","2,826 ","2,400 ","2,825 "," 2,127 "," 1,526 "," 2,525 "," 3,539 "," 2,940 "," 2,913 "," 3,767 "," 3,675 "," 3,059 "," 3,625 "," 2,046 "," 2,875 ",2525,1510,1898,2529,2009,1887,1733,1466,1567,2576,3002,2809,4017," 2,912 "
튀르키예,유럽," 1,348 "," 1,034 "," 2,090 "," 1,920 "," 1,429 "," 1,754 "," 1,871 ","1,170 ","1,201 ","2,606 ","2,344 ","1,385 ", 536 , 606 , 569 , 646 ," 2,821 "," 2,759 "," 1,802 ","2,095 ","2,595 ","1,812 ","2,472 ",290 , 955 , 936 ," 1,482 "," 1,903 "," 2,428 "," 2,245 "," 1,497 ","1,277 ",,,490 ,, 5 , 169 , 296 ," 1,045 ", 617 , 94 , 562 ,352 ,301 ,700 ,659 ,40 , 290 , 420 , 874 , - , 150 , 512 , 959 ,417 ,"1,606 ",430 ,636 ,964 , 241 , 173 ," 1,336 ", 711 , 407 , 850 , 325 ,301 ,793 ,951 ,485 ,734 , 77 , 583 , 599 , 677 , 411 , 699 , 206 ,626 ,332 ,899 ,263 ,718 , 389 , 854 , 653 , 913 ," 1,096 "," 1,096 "," 1,421 ", 870 , 870 ," 1,110 "," 1,102 ", 805 ,441,1697,1667,1759,751,383,204,53,140,350,259,734,197," 1,343 "
유럽 기타,유럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46, 19 
중남미,기타," 5,171 "," 4,586 "," 7,287 "," 6,233 "," 6,103 "," 6,074 "," 6,794 ","4,349 ","4,932 ","8,599 ","9,820 ","11,119 "," 3,889 "," 4,747 "," 8,200 "," 8,554 "," 8,185 "," 7,711 "," 7,143 ","4,603 ","7,333 ","7,207 ","7,073 ","4,746 "," 6,410 "," 5,968 "," 5,684 "," 7,112 "," 7,791 "," 5,293 "," 7,260 ","7,908 ","6,911 ","8,937 ","8,558 ","5,334 "," 3,403 "," 2,366 "," 3,604 "," 6,166 "," 5,692 "," 5,297 "," 5,972 ","5,494 ","5,279 ","6,331 ","4,323 ","5,284 "," 2,526 "," 1,220 "," 2,025 ", 863 , 611 , 768 ," 1,032 ","1,834 ","2,388 ","4,781 ","4,044 ","5,129 "," 2,925 "," 1,538 "," 4,201 "," 4,264 "," 4,142 "," 4,857 "," 4,451 ","3,423 ","3,821 ","5,284 ","4,180 ","4,385 "," 4,224 "," 4,021 "," 3,300 "," 5,151 "," 4,856 "," 5,064 "," 4,168 ","3,502 ","4,006 ","4,549 ","4,988 ","5,012 "," 3,896 "," 5,092 "," 4,954 "," 5,758 "," 4,294 "," 5,538 "," 4,700 "," 4,796 "," 4,068 "," 5,022 "," 3,691 "," 4,547 ",4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599,4157," 3,804 "
