차종,차량 유형,거래 유형,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Avante (CN7 HEV),승용차,내수,777,827,714,714,714,742,714,714,714,640,714,794,398,402,462,567,432,468,415,435,396,517,496,467,1808,1808
Avante (CN7 HEV),승용차,수출,2492,2792,2794,3416,2671,2715,2857,2574,2615,2929,2776,2866,2760,2760,2506,2952,2577,2494,2384,3279,2760,2760,2822,2356,3720,4764
Avante (CN7 N),승용차,내수,82,79,83,94,94,94,94,94,94,94,115,94,91,91,75,108,91,91,102,91,91,64,91,79,283,315
Avante (CN7 N),승용차,수출,433,450,307,433,382,433,433,433,377,553,433,433,617,617,507,712,481,565,502,504,617,617,617,698,667,469
Avante (CN7),승용차,내수,5241,5430,5466,5123,5191,4556,3534,4193,3739,4246,4760,4196,3994,4182,3651,5131,5226,4196,3458,3450,3290,5411,4787,4182,4086,3212
Avante (CN7),승용차,수출,13012,15452,14486,14714,14232,15191,13160,13015,11833,15295,14959,14060,16915,15879,16840,19376,18701,19533,13496,14832,13325,15664,13790,17241,10264,11008
Casper (AX EV),휴양용 차량,내수,2173,2045,2007,2231,2050,1952,1953,2116,1844,1807,1918,2007,1739,1301,2068,1596,1619,1211,1219,1439,1596,1596,1731,1596,1354,1354
Casper (AX),휴양용 차량,내수,3070,3164,3248,3420,4064,3900,3706,3804,3705,3648,3788,4021,3006,3118,3442,3549,2826,3352,3425,3592,2826,2826,2014,2826,3143,3143
Casper (AX),휴양용 차량,수출,528,527,550,535,611,527,526,559,497,520,524,571,417,417,417,417,417,417,417,417,417,417,417,417,2007,2195
Casper EV (AX EV),휴양용 차량,수출,1372,1147,1285,1202,1176,1204,1227,1290,1202,1204,1202,1248,888,888,888,888,888,888,888,868,888,881,888,888,2867,3085
G70 (IK),승용차,내수,268,328,390,356,328,328,328,423,364,257,251,255,182,209,199,145,151,167,215,212,181,182,180,159,320,320
G70 (IK),승용차,수출,1201,1413,1825,1589,1452,1224,1223,1314,1182,1351,1424,1424,1428,880,1148,1277,1097,1053,1148,980,1281,967,1038,1470,1483,1483
G70 S/B (IK S/B),승용차,내수,917,973,972,917,947,967,947,979,973,917,967,937,975,972,975,927,957,927,947,997,937,917,976,979,983,983
G70 S/B (IK S/B),승용차,수출,16,16,16,12,16,16,16,16,13,16,16,26,29,33,31,51,41,49,61,91,82,71,92,109,99,77
G80 (RG3 EV),승용차,내수,86,86,86,86,112,71,83,68,86,86,67,86,40,40,78,78,40,78,78,40,40,40,40,40,61,81
G80 (RG3 EV),승용차,수출,105,105,105,105,105,105,91,118,105,88,91,105,142,142,142,142,172,152,192,232,242,322,432,342,563,783
G80 (RG3),승용차,내수,4052,4268,4356,4407,3517,3517,3169,2855,2765,3517,2956,3517,3468,3250,3781,3781,3622,3656,3110,3485,3892,3822,3398,3470,2710,1954
G80 (RG3),승용차,수출,581,529,710,665,893,613,639,739,551,695,634,694,673,575,683,730,584,510,664,582,529,699,453,693,1183,1183
G90,승용차,내수,1072,1134,1245,1253,1228,1223,1166,1116,1160,1220,1188,1268,883,946,1056,1064,1039,1035,936,928,900,1031,992,1007,2007,2195
G90 (HI),승용차,내수,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
G90 (HI),승용차,수출,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
G90 (RS4),승용차,내수,944,835,1120,1023,1040,1040,1102,1054,836,1040,1040,1154,768,605,715,829,866,633,594,532,551,550,683,705,857,937
G90 (RS4),승용차,수출,207,136,136,206,130,168,168,168,119,168,168,171,173,173,173,165,173,173,198,148,153,140,138,184,283,315
GV60 (JW),휴양용 차량,내수,266,210,266,266,266,266,227,266,266,266,266,266,217,217,217,217,217,217,217,217,217,217,217,217,983,983
GV60 (JW),휴양용 차량,수출,579,579,579,589,618,546,618,653,566,579,579,579,246,308,242,308,310,359,308,308,308,281,395,262,240,250
GV70 (JK EV),휴양용 차량,내수,180,177,180,180,180,180,206,180,180,180,180,180,116,116,116,116,116,116,116,116,116,116,116,116,176,176
GV70 (JK),휴양용 차량,내수,2693,2291,2675,2446,2288,2693,3209,2833,2743,3467,2819,2617,2195,2832,2832,2832,2010,2832,2832,2832,3324,2832,3137,2574,2734,1954
GV70 (JK),휴양용 차량,수출,1684,1684,1684,1684,1684,1781,1684,1684,1684,1684,1684,1684,1515,1515,1515,1515,1740,1073,1515,1604,1906,1515,1255,1082,1516,1516
GV70 EV (JK EV),휴양용 차량,수출,139,125,125,93,125,108,121,88,125,109,125,125,84,84,84,84,84,84,84,84,84,84,84,84,96,51
GV80 (JX),휴양용 차량,내수,1881,2405,2786,2916,2737,2572,1900,1692,2405,2405,2405,2405,3021,3021,3021,3703,2912,2637,2562,3021,2428,3021,3121,2394,2534,1954
GV80 (JX),휴양용 차량,수출,1884,1842,2343,2277,2472,2350,2711,2296,2072,2301,1691,2373,2410,2110,2075,2737,2110,2115,1633,1896,2110,2345,2490,2345,1984,1823
GV80 Coupe (JX Coupe),휴양용 차량,내수,299,319,311,320,339,298,299,317,317,328,317,287,245,260,301,260,260,226,275,196,182,260,241,260,284,315
GV80 Coupe (JX Coupe),휴양용 차량,수출,156,137,156,156,156,156,138,160,156,150,151,156,295,295,295,295,295,295,278,320,278,374,303,295,1182,1182
Grandeur (GN7 HEV),승용차,내수,3711,4396,5355,5179,5159,5159,5122,5328,4650,4279,4672,4800,3189,3189,2970,3500,3220,3215,3512,3513,3611,3189,2367,3697,3098,3326
Grandeur (GN7 HEV),승용차,수출,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,2007,2195
Grandeur (GN7),승용차,내수,5407,5419,4262,4818,4684,4012,3409,3492,3509,3913,3308,3610,2782,1960,3130,3585,2782,2488,2775,2674,2509,2949,2680,3515,2613,1954
Grandeur (GN7),승용차,수출,287,287,287,287,306,287,287,304,287,287,287,287,294,294,223,213,294,380,294,294,272,294,294,294,277,287
Grandeur (IG HEV),승용차,내수,983,983,983,983,983,983,1105,983,1196,983,1007,1201,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Grandeur (IG HEV),승용차,수출,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Grandeur (IG),승용차,내수,3034,3034,3034,3034,2470,2422,2754,3034,3034,3034,3034,3034,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
Grandeur (IG),승용차,수출,983,983,983,983,983,983,1105,983,1196,983,1007,1201,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
HCV,상업용 차량,내수,2096,2096,2579,1826,2443,2550,2154,2209,2047,2347,2468,2124,1710,1763,2229,2341,2512,2518,2305,2369,2204,2490,2401,2022,1762,2004
HCV,상업용 차량,수출,697,553,732,752,697,697,660,731,661,737,640,554,412,569,490,554,474,526,446,448,496,359,427,448,548,548
IONIQ (AE EV),승용차,내수,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195,2527,2551,2476,2462,2167,2141,2059,2451,2333,2378,2007,2195
