공장명(국가),차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12, 2025-01 , 2025-02 
인도,Eon,내수," 5,431 "," 5,539 "," 5,460 "," 5,417 "," 3,634 "," 3,600 "," 3,792 ","3,990 ","4,504 ","5,810 ","5,658 ","6,790 "," 5,047 "," 5,500 "," 5,747 "," 5,379 "," 5,330 "," 4,231 "," 4,032 ","4,058 ","5,144 ","6,350 ","5,137 ","5,672 "," 6,111 "," 4,551 "," 4,500 "," 4,663 "," 4,609 "," 4,270 "," 3,746 ","3,916 ","5,309 ",5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, Santro (AH2),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,535 ","9,009 ","7,197 "," 8,000 "," 6,875 "," 8,280 "," 6,906 "," 4,902 "," 4,141 "," 5,309 ","3,288 ","3,502 ","5,855 ","3,851 ","3,820 "," 3,671 "," 4,200 "," 2,169 ", - , 157 ," 1,513 "," 1,351 ","2,395 ","3,034 ","3,463 ","2,822 ","1,960 "," 2,211 "," 2,128 "," 2,165 "," 2,683 "," 1,122 "," 2,039 "," 1,949 ","1,731 ","1,798 ","2,877 ","2,141 ","1,298 "," 1,252 "," 2,393 "," 2,494 "," 1,793 "," 2,608 ", 7 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,
인도,i10,내수," 1,455 "," 2,128 "," 1,980 "," 1,700 "," 1,854 "," 1,100 "," 1,335 ","1,234 ","1,389 ","2,450 ","2,471 ",856 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, i10 (BA 5DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 10,285 "," 9,065 "," 7,225 "," 9,610 "," 8,102 "," 6,907 "," 3,719 ","2,698 ","4,061 ","3,403 ","2,118 ","2,144 "," 2,468 "," 1,800 ", 192 , - , 12 , 417 , 506 ,672 ,12 ,3 ,- ,- , - , - , - , - , - , - , - ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,i10(BA 4DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2,121 "," 1,924 "," 1,792 "," 1,463 "," 1,694 "," 2,172 "," 1,430 ","1,316 ","1,164 ","1,388 ","1,612 ","1,139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,i10(AI3),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1,362 ","6,705 ","5,297 ","6,470 ","8,068 ","5,454 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, Aura (AI3 4DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6,001 "," 4,896 "," 2,615 ", - , 349 ," 1,016 "," 1,839 ","3,117 ","3,682 ","5,540 ","2,990 ","3,065 "," 4,140 "," 4,159 "," 3,915 "," 3,288 "," 1,627 "," 3,088 "," 3,984 ","2,950 ","2,654 ","2,355 ","2,175 ","1,685 "," 3,017 "," 3,406 "," 3,417 "," 3,803 "," 3,146 "," 4,099 "," 4,018 "," 4,378 "," 4,239 "," 4,248 "," 3,813 "," 4,156 "," 4,634 "," 5,524 "," 3,774 "," 5,085 "," 4,707 "," 4,907 "," 4,514 "," 4,892 "," 3,900 "," 4,096 "," 3,850 "," 3,812 ",,,,,,,,,,,,,,
인도, NIOS (AI3 5DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6,306 "," 8,607 "," 4,101 ", - , 706 ," 3,176 "," 7,862 ","9,518 ","10,373 ","14,000 ","10,936","10,263 "," 10,865 "," 10,270 "," 11,020 "," 11,540 "," 3,804 "," 8,787 "," 9,379 ","8,023 ","4,168 ","6,042 ","5,466","6,151 "," 6,841 "," 8,552 "," 9,687 "," 9,123 "," 9,138 "," 8,992 "," 10,000 "," 9,274 "," 9,459 "," 8,855 "," 7,961 "," 8,340 "," 8,760 "," 9,635 "," 9,304 "," 6,839 "," 6,385 "," 6,321 "," 5,337 "," 7,306 "," 5,223 "," 6,552 "," 4,708 "," 5,247 ",,,,,,,,,,,,,,
인도, Xcent (AI3 4DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 690 , 72 , - , - , - , - , - ,111 ,200 ,37 ,73 ,48 , 43 , 141 , 108 , 59 , 10 , 38 , 50 ,144 ,208 ,346 ,387 ,30 , 316 , 262 , 358 , 232 , 165 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 5,516 "," 5,053 "," 4,883 "," 4,526 "," 4,433 "," 4,299 "," 4,757 "," 4,304 "," 4,462 "," 4,805 "," 4,248 "," 3,852 "," 5,388 "," 4,797 "
인도,Grand i10(BA),내수," 9,934 "," 8,898 "," 9,544 "," 9,840 "," 12,055 "," 12,678 "," 11,961 ","12,957 ","12,212 ","14,530 ","11,059 ","10,519 "," 13,010 "," 12,862 "," 12,545 "," 12,001 "," 12,984 "," 12,317 "," 12,002 ","12,306 ","14,099 ","14,417 ","13,249 ",," 12,109 "," 10,198 "," 12,476 "," 12,174 "," 10,939 "," 10,343 "," 10,775 ","11,489 ","11,224 ","11,820 ","9,252 ","11,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
