Model,Vehicle Type,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Avante (CN7),PC,Domestic," 3,994 "," 1,828 "," 3,651 "," 5,131 "," 5,226 "," 4,196 "," 3,458 "," 3,450 "," 3,290 "," 5,411 "," 4,787 "," 5,766 "
Avante (CN7 HEV),PC,Domestic, 398 , 402 , 462 , 567 , 432 , 468 , 415 , 435 , 396 , 517 , 496 , 617 
Avante (CN7 N),PC,Domestic, 46 , 62 , 75 , 108 , 135 , 142 , 102 , 54 , 61 , 64 , 169 , 79 
IONIQ (AE HEV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE PHEV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE EV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Veloster (JS N),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Sonata (LF),PC,Domestic, - , 26 , 4 , - , - , - , - , - , - , - , - , - 
Sonata (DN8),PC,Domestic, 379 ," 1,187 "," 3,298 "," 3,307 "," 3,207 "," 2,234 "," 2,412 "," 2,239 "," 2,296 "," 2,199 "," 3,133 "," 3,487 "
Sonata (DN8 HEV),PC,Domestic, 117 , 210 , 776 , 786 , 778 , 814 , 695 , 956 ," 1,043 "," 1,194 "," 1,186 "," 1,348 "
Grandeur (IG),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (IG HEV),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (GN7),PC,Domestic," 1,458 "," 1,960 "," 3,130 "," 3,585 "," 3,664 "," 2,488 "," 2,775 "," 2,674 "," 2,509 "," 2,949 "," 2,680 "," 3,515 "
Grandeur (GN7 HEV),PC,Domestic," 2,177 "," 2,003 "," 2,970 "," 3,500 "," 3,220 "," 3,215 "," 3,512 "," 3,513 "," 3,611 "," 4,484 "," 2,367 "," 3,697 "
IONIQ 6 (CE),PC,Domestic, 4 , 98 , 936 , 421 , 377 , 292 , 275 , 405 , 368 , 866 , 734 , 181 
G70 (IK),PC,Domestic, 237 , 209 , 199 , 145 , 151 , 167 , 215 , 212 , 181 , 126 , 180 , 159 
G70 S/B (IK S/B),PC,Domestic, 15 , 45 , 12 , 6 , 5 , 4 , 11 , 18 , 21 , 8 , 26 , 9 
G80 (RG3),PC,Domestic," 3,468 "," 3,250 "," 5,266 "," 4,934 "," 3,622 "," 3,656 "," 3,110 "," 3,485 "," 3,892 "," 3,822 "," 3,398 "," 3,470 "
G80 (RG3 EV),PC,Domestic, 26 , 6 , 32 , 32 , 25 , 34 , 33 , 3 , 6 , 129 , 89 , 66 
G90 (HI),PC,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
G90 (RS4),PC,Domestic, 768 , 605 , 715 , 829 , 866 , 633 , 594 , 532 , 551 , 550 , 683 , 705 
Casper (AX),RV,Domestic," 3,006 "," 3,118 "," 3,442 "," 3,549 "," 3,861 "," 3,352 "," 3,425 "," 3,592 "," 1,927 "," 1,434 "," 2,014 "," 1,197 "
Casper (AX EV),RV,Domestic, - , - , - , - , - , - , - ," 1,439 "," 2,075 "," 2,186 "," 1,731 ", 440 
Venue (QX),RV,Domestic, 323 , 323 , 283 , 295 , 603 , 494 , 365 , 299 , 411 , 439 , 395 , 415 
Kona (OS),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS HEV),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS EV),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (OS N),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Kona (SX2),RV,Domestic," 1,289 ", 994 ," 1,943 "," 2,046 "," 1,826 "," 1,694 "," 1,385 "," 1,171 "," 1,148 "," 1,330 "," 1,052 "," 1,714 "
Kona (SX2 HEV),RV,Domestic, 683 , 403 , 452 , 482 , 694 , 653 , 521 , 701 , 881 , 810 , 749 , 834 
Kona (SX2 EV),RV,Domestic, 4 , 58 , 352 , 208 , 253 , 246 , 508 , 263 , 632 , 189 , 233 , 58 
Tucson (TL),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Tucson (NX4),RV,Domestic," 2,657 "," 1,464 "," 1,591 "," 1,817 "," 2,987 "," 2,592 "," 1,937 "," 1,649 "," 1,652 "," 2,835 "," 2,523 "," 2,973 "
Tucson (NX4 HEV),RV,Domestic," 2,495 "," 1,606 "," 1,933 "," 2,445 "," 1,851 "," 1,624 "," 1,187 "," 2,316 "," 2,901 "," 3,530 "," 3,060 "," 3,632 "
NEXO (FE),RV,Domestic, 2 , 331 , 268 , 252 , 316 , 294 , 330 , 347 , 268 , 184 , 111 , 48 
IONIQ 5 (NE),RV,Domestic, 34 , 221 ," 1,810 "," 1,549 "," 1,559 "," 1,810 "," 1,717 "," 1,181 "," 1,146 "," 1,039 "," 1,218 ", 578 
IONIQ 5 N (NE N),RV,Domestic, 5 , 3 , 47 , 35 , 31 , 24 , 47 , 41 , 26 , 25 , 34 , 33 
Santa-Fe (TM),RV,Domestic, 2 , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (TM HEV),RV,Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
Santa-Fe (MX5),RV,Domestic," 2,986 "," 2,441 "," 1,903 "," 2,077 "," 1,709 "," 1,460 "," 1,367 "," 1,347 "," 1,237 "," 1,553 "," 2,183 "," 1,049 "
Santa-Fe (MX5 HEV),RV,Domestic," 5,028 "," 4,972 "," 5,981 "," 3,770 "," 3,896 "," 3,540 "," 3,881 "," 4,368 "," 4,077 "," 5,741 "," 5,393 "," 5,200 "
Palisade (LX2),RV,Domestic," 1,741 "," 2,365 "," 1,974 "," 1,789 "," 1,335 "," 1,273 "," 1,316 "," 1,529 "," 1,704 "," 1,517 "," 2,282 "," 2,142 "
GV60 (JW),RV,Domestic, 7 , 10 , 68 , 88 , 88 , 54 , 64 , 33 , 34 , 42 , 58 , 44 
GV70 (JK),RV,Domestic," 2,195 "," 1,796 "," 1,145 "," 1,592 "," 2,010 "," 4,651 "," 3,803 "," 3,835 "," 3,324 "," 3,921 "," 3,137 "," 2,574 "
GV70 (JK EV),RV,Domestic, 37 , 9 , 98 , 74 , 56 , 42 , 36 , 44 , 19 , 29 , 18 , 24 
GV80 (JX),RV,Domestic," 4,351 "," 4,275 "," 4,003 "," 3,703 "," 2,912 "," 2,637 "," 2,562 "," 1,965 "," 2,428 "," 1,902 "," 3,121 "," 2,394 "
GV80 Coupe (JX Coupe),RV,Domestic, 245 , 377 , 301 , 381 , 401 , 226 , 275 , 196 , 182 , 126 , 241 , 165 
LCV,CV,Domestic," 7,923 "," 9,233 "," 11,155 "," 11,287 "," 9,757 "," 9,613 "," 8,946 "," 8,304 "," 7,753 "," 9,617 "," 8,949 "," 8,836 "
HCV,CV,Domestic," 1,710 "," 1,763 "," 2,229 "," 2,341 "," 2,512 "," 2,518 "," 2,305 "," 2,369 "," 2,204 "," 2,490 "," 2,401 "," 2,022 "
Avante (CN7),PC,Export," 16,915 "," 10,835 "," 16,840 "," 19,376 "," 18,701 "," 19,533 "," 13,496 "," 14,832 "," 13,325 "," 15,664 "," 13,790 "," 17,241 "
Avante (CN7 HEV),PC,Export," 4,789 "," 1,607 "," 2,506 "," 2,952 "," 2,577 "," 2,494 "," 2,384 "," 3,279 "," 1,753 "," 3,597 "," 2,822 "," 2,356 "
Avante (CN7 N),PC,Export, 134 , 409 , 507 , 712 , 481 , 565 , 502 , 504 , 881 ," 1,106 ", 906 , 698 
IONIQ (AE HEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE PHEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
IONIQ (AE EV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
i30 (PD),PC,Export, 67 , - , - , - , - , - , - , - , - , - , - , - 
Veloster (JS N),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Sonata (DN8),PC,Export," 2,284 "," 3,867 "," 7,148 "," 8,358 "," 8,168 "," 8,217 "," 6,193 "," 4,723 "," 5,762 "," 6,408 "," 4,521 "," 7,021 "
Sonata (DN8 HEV),PC,Export, 935 , 736 ," 2,902 "," 2,584 "," 2,975 "," 2,390 "," 2,014 "," 2,378 "," 1,980 "," 1,373 "," 1,025 "," 1,577 "
Grandeur (IG),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (IG HEV),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
Grandeur (GN7),PC,Export, 15 , 175 , 223 , 213 , 50 , 380 , 429 , 467 , 272 , 523 , 396 , 385 
Grandeur (GN7 HEV),PC,Export, 3 , 88 , 226 , 78 , 11 , - , 5 , - , 7 , - , - , - 
IONIQ 6 (CE),PC,Export, 483 , 585 ," 2,208 "," 2,209 "," 3,292 "," 2,406 "," 2,834 "," 2,370 "," 2,719 ", 814 ," 1,461 "," 1,596 "
G70 (IK),PC,Export," 1,428 ", 880 ," 1,565 "," 1,277 "," 1,097 "," 1,053 ", 745 , 980 ," 1,281 ", 967 ," 1,038 "," 1,470 "
G70 S/B (IK S/B),PC,Export, 10 , 20 , 30 , 11 , 5 , 8 , - , 1 , - , 20 , 8 , 8 
G80 (RG3),PC,Export, 673 , 104 , 683 , 730 , 584 , 510 , 664 , 582 , 529 , 699 , 453 , 693 
G80 (RG3 EV),PC,Export, 72 , 16 , 105 , 37 , 20 , 12 , 12 , 7 , 3 , 1 , 1 , - 
G90 (HI),PC,Export, - , - , - , - , - , - , - , - , - , - , - , - 
G90 (RS4),PC,Export, 259 , 44 , 107 , 165 , 237 , 307 , 198 , 148 , 153 , 140 , 138 , 184 
Casper (AX),RV,Export, - , - , - , - , 2 , - , - , - , - , - , - , - 
Casper EV (AX EV),RV,Export, - , - , - , - , 3 , 5 , 1 , - , 2 , 881 ," 3,593 "," 4,172 "
