공장명(국가),위도,경도
CKD(모듈형 조립 방식),"(10.0, 10.0)","(10.0, 10.0)"
기타,"(0.0, 0.0)","(0.0, 0.0)"
러시아,"(61.524, 105.3188)","(61.524, 105.3188)"
멕시코,"(23.6345, -102.5528)","(23.6345, -102.5528)"
미국,"(37.0902, -95.7129)","(37.0902, -95.7129)"
미국 (앨라배마),"(32.8067, -86.7911)","(32.8067, -86.7911)"
미국 (조지아),"(32.1656, -82.9001)","(32.1656, -82.9001)"
베트남,"(14.0583, 108.2772)","(14.0583, 108.2772)"
브라질,"(-14.235, -51.9253)","(-14.235, -51.9253)"
브라질 (피라시카바),"(-22.7253, -47.6497)","(-22.7253, -47.6497)"
슬로바키아,"(48.669, 19.699)","(48.669, 19.699)"
싱가포르,"(1.3521, 103.8198)","(1.3521, 103.8198)"
인도,"(20.5937, 78.9629)","(20.5937, 78.9629)"
인도네시아,"(-0.7893, 113.9213)","(-0.7893, 113.9213)"
중국,"(35.8617, 104.1954)","(35.8617, 104.1954)"
체코,"(49.8175, 15.473)","(49.8175, 15.473)"
튀르키예,"(38.9637, 35.2433)","(38.9637, 35.2433)"
