국가,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
U.S.A.,33157,44040,44161,43894,51132,47682,46768,46840,49241,57589,58435,58183,55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802,41454.0
Canada,9824,11958,11464,10792,10478,11495,8383,6155,6143,9776,10729,11805,11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807,10472.0
Mexico,8,82,57,45,69,31,202,216,75,130,200,112,60,51,287,373,194,150,143,146,189,153,121,72,29.0
Europe Subsidiaries,8949,14775,12550,11058,12274,13248,8080,5970,6476,6753,7476,6762,7172,8467,8538,10326,7889,7881,6881,6457,6214,7967,8753,10033,8298.0
Europe Distributors,2127,1526,2525,3539,2940,2913,3767,3675,3059,3625,2046,2875,2525,1510,1898,2529,2009,1887,1733,1466,1567,2576,3002,2809,4017.0
Turkey,389,854,653,913,1096,1096,1421,870,870,1110,1102,805,441,1697,1667,1759,751,383,204,53,140,350,259,734,197.0
Latin America,3896,5092,4954,5758,4294,5538,4700,4796,4068,5022,3691,4547,4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599,
Russia/CIS,2146,2220,1945,2991,2672,2541,2157,2498,1734,2211,2063,1916,1932,1818,1970,2067,1435,2265,1936,2532,3955,3694,3014,2219,4157.0
Middle East/Africa,10427,10128,12760,11043,9118,8908,9410,8890,5963,8258,6651,8346,9074,6530,8131,9320,9390,9522,10005,6314,7645,9330,8768,8388,2828.0
Asia/Pacific,11288,7295,8997,10570,10678,10496,10563,9940,4984,10793,7556,7712,6891,6057,7161,8351,7760,9011,7822,8918,10004,7142,6838,7324,7909.0
