차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Avante (CN7),내수,5241,5430.0,5466.0,5123.0,5191.0,4556.0,3534.0,4193.0,3739.0,4246.0,4760.0,4196.0,2023,0,
Avante (CN7 HEV),내수,777,827.0,1070.0,120.0,1365.0,742.0,466.0,402.0,407.0,640.0,953.0,794.0,2023,0,
Avante (CN7 N),내수,82,79.0,83.0,35.0,43.0,20.0,2.0,163.0,221.0,131.0,115.0,152.0,2023,0,
IONIQ (AE HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
IONIQ (AE PHEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
IONIQ (AE EV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Veloster (JS N),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Sonata (LF),내수,996,1012.0,1230.0,1603.0,901.0,1162.0,673.0,401.0,407.0,303.0,321.0,310.0,2023,0,
Sonata (DN8),내수,1189,842.0,608.0,422.0,1432.0,2258.0,1588.0,1856.0,1869.0,3537.0,3498.0,3612.0,2023,0,
Sonata (DN8 HEV),내수,354,386.0,377.0,207.0,297.0,693.0,554.0,744.0,671.0,1009.0,1076.0,1243.0,2023,0,
Grandeur (IG),내수,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Grandeur (IG HEV),내수,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Grandeur (GN7),내수,5407,5419.0,5561.0,4818.0,4684.0,4012.0,3409.0,3492.0,3509.0,3913.0,3308.0,3610.0,2023,0,
Grandeur (GN7 HEV),내수,3711,4396.0,5355.0,5179.0,6897.0,7516.0,5122.0,5328.0,4650.0,4279.0,4672.0,4800.0,2023,0,
IONIQ 6 (CE),내수,23,1632.0,2200.0,1316.0,1117.0,491.0,488.0,400.0,344.0,472.0,618.0,183.0,2023,0,
G70 (IK),내수,268,195.0,390.0,356.0,215.0,429.0,529.0,423.0,364.0,257.0,251.0,255.0,2023,0,
G70 S/B (IK S/B),내수,49,25.0,76.0,23.0,33.0,40.0,30.0,34.0,20.0,21.0,16.0,21.0,2023,0,
G80 (RG3),내수,4052,4268.0,4356.0,4407.0,4701.0,4647.0,3169.0,2855.0,2765.0,1931.0,2956.0,2092.0,2023,0,
G80 (RG3 EV),내수,5,22.0,314.0,166.0,112.0,71.0,83.0,68.0,54.0,38.0,67.0,37.0,2023,0,
G90 (HI),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
G90 (RS4),내수,944,835.0,1120.0,1023.0,1417.0,1629.0,1102.0,1054.0,836.0,646.0,719.0,1154.0,2023,0,
Casper (AX),내수,3070,3164.0,3248.0,3420.0,4064.0,3900.0,3706.0,3804.0,3705.0,3648.0,5701.0,4021.0,2023,0,
Venue (QX),내수,646,492.0,526.0,449.0,511.0,952.0,546.0,904.0,771.0,1182.0,776.0,526.0,2023,0,
Kona (OS),내수,47,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Kona (OS HEV),내수,186,95.0,52.0,24.0,10.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,2023,0,
Kona (OS EV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
