코드(계정항목),계정항목,단위,변환,2023,2024
FIEF,국별수입(관세청),천달러,원자료,642572126,632100032
FIEF24,수입총액(네덜란드),천달러,원자료,8061948,8176755
FIEF04,수입총액(대만),천달러,원자료,24370640,30222478
FIEF23,수입총액(독일),천달러,원자료,23611170,22300977
FIEF13,수입총액(러시아),천달러,원자료,8891986,6872733
FIEF06,수입총액(말레이지아),천달러,원자료,15237142,13981975
FIEF31,수입총액(미국),천달러,원자료,71272030,72121396
FIEF33,수입총액(브라질),천달러,원자료,6724277,7297996
FIEF11,수입총액(사우디아라비아),천달러,원자료,32762549,31502205
FIEF21,수입총액(스위스),천달러,원자료,3235614,3507542
FIEF05,수입총액(싱가포르),천달러,원자료,11178605,10561353
FIEF12,수입총액(아랍에미레이트),천달러,원자료,16422761,17988201
FIEF22,수입총액(영국),천달러,원자료,5147813,4570578
FIEF25,수입총액(이탈리아),천달러,원자료,8330534,7724472
FIEF07,수입총액(인도),천달러,원자료,6728362,6434076
FIEF09,수입총액(인도네시아),천달러,원자료,12145901,12568965
FIEF01,수입총액(일본),천달러,원자료,47656468,47898729
FIEF02,수입총액(중국),천달러,원자료,142857338,139867771
FIEF34,수입총액(캐나다),천달러,원자료,6194625,6852727
FIEF10,수입총액(태국),천달러,원자료,7366589,7173754
FIEF32,수입총액(파나마),천달러,원자료,329359,146961
FIEF26,수입총액(프랑스),천달러,원자료,8065561,8146718
FIEF08,수입총액(필리핀),천달러,원자료,4645089,4430596
FIEF41,수입총액(호주),천달러,원자료,32822955,29956277
FIEF03,수입총액(홍콩),천달러,원자료,1831871,2256275
