코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
1,원/미국달러(매매기준율),100,평균자료,원,원자료,1247.25,1270.74,1305.73,1320.01,1328.21,1296.71,1286.3,1318.47,1329.47,1350.69,1310.39,1303.98,1323.57,1331.74,1330.69,1367.83,1365.39,1380.13,1383.38,1354.15,1334.82,1361.0,1393.38,1434.42,1455.79,1445.56
1,원/미국달러(매매기준율),200,말일자료,원,원자료,1228.7,1317.4,1303.8,1339.9,1322.2,1312.8,1280.0,1321.4,1344.8,1352.8,1289.0,1289.4,1330.6,1334.0,1346.8,1378.7,1376.5,1389.2,1384.6,1335.3,1319.6,1383.3,1394.7,1470.0,1433.3,1439.6
53,원/위안(매매기준율),100,평균자료,원,원자료,183.16,185.97,189.1,191.6,190.02,180.99,178.6,181.78,182.11,184.62,180.86,182.29,184.41,184.82,184.48,188.52,188.54,189.8,189.91,189.07,188.53,191.63,193.27,196.93,198.71,198.43
53,원/위안(매매기준율),200,말일자료,원,원자료,182.09,188.79,189.13,193.37,186.31,181.05,178.49,181.09,184.27,184.51,180.91,180.84,185.15,184.86,185.75,190.05,189.18,190.43,190.39,187.56,188.74,193.56,192.42,201.27,197.26,197.58
2,원/일본엔(100엔),100,평균자료,원,원자료,956.76,956.68,977.31,990.52,969.37,918.39,911.74,911.4,901.65,903.72,874.28,904.83,906.71,891.08,889.12,889.97,875.88,874.32,875.3,925.99,929.25,906.77,907.16,934.25,927.97,952.59
2,원/일본엔(100엔),200,말일자료,원,원자료,942.22,967.36,981.44,1000.63,945.98,906.97,908.28,905.07,902.22,907.04,877.29,912.66,901.89,885.76,889.48,882.68,877.84,864.31,905.44,921.75,924.51,902.2,920.87,936.48,927.88,961.82
3,원/유로,100,평균자료,원,원자료,1342.37,1361.65,1398.5,1446.41,1444.2,1405.98,1421.87,1439.04,1422.61,1427.31,1415.59,1422.28,1444.12,1437.52,1447.27,1466.77,1476.24,1485.57,1499.68,1491.48,1481.6,1481.35,1482.93,1502.63,1504.11,1505.44
3,원/유로,200,말일자료,원,원자료,1332.83,1397.76,1421.53,1477.64,1418.99,1426.55,1411.33,1444.36,1421.72,1435.86,1414.16,1426.59,1443.1,1445.92,1452.93,1477.48,1491.09,1487.07,1497.51,1479.58,1474.06,1502.19,1472.04,1528.7
12,원/영국파운드,100,평균자료,원,원자료,1522.9,1536.58,1584.81,1642.03,1658.03,1638.27,1656.51,1676.1,1652.78,1644.58,1626.1,1650.23,1681.56,1682.4,1692.21,1711.96,1726.09,1755.05,1778.05,1751.71,1763.75,1774.08,1777.61,1813.97,1795.49,1811.97
12,원/영국파운드,200,말일자료,원,원자료,1517.32,1589.31,1614.95,1674.41,1640.72,1655.51,1645.38,1681.15,1634.54,1645.82,1636.39,1641.79,1689.6,1688.98,1700.34,1731.85,1752.15,1755.95,1777.48,1757.99,1765.56,1792.76,1769.6,1843.67,1779.87,1814.4
13,원/캐나다달러,100,평균자료,원,원자료,927.91,945.81,954.08,979.32,983.21,975.76,972.88,979.04,981.52,985.5,955.06,970.73,986.67,986.86,983.04,1000.83,998.82,1007.31,1009.16,990.53,986.36,988.4,997.77,1007.47,1011.82,1010.78
13,원/캐나다달러,200,말일자료,원,원자료,917.49,970.57,964.24,985.51,972.17,990.72,966.0,976.28,994.56,978.52,948.56,974.64,992.95,982.58,994.83,1008.93,1006.03,1013.76,999.71,990.1,976.58,994.64,995.22,1023.96,988.07,997.44
14,원/스위스프랑,100,평균자료,원,원자료,1348.82,1374.5,1410.57,1468.17,1480.94,1440.27,1470.81,1501.65,1483.99,1497.17,1468.74,1505.26,1542.97,1519.54,1498.89,1503.99,1500.93,1544.96,1549.31,1578.12,1574.63,1578.86,1583.85,1610.14,1599.05,1599.37
14,원/스위스프랑,200,말일자료,원,원자료,1327.61,1407.85,1427.41,1498.69,1458.98,1459.72,1471.52,1505.01,1468.76,1499.28,1475.67,1526.82,1544.07,1518.07,1493.79,1513.56,1523.86,1545.79,1568.42,1576.23,1569.36,1596.51,1580.04,1626.38,1574.97,1599.82
17,원/호주달러,100,평균자료,원,원자료,864.78,878.31,871.75,883.79,883.39,870.63,866.22,856.15,854.3,857.19,850.54,871.56,879.9,869.49,872.97,889.49,904.8,916.76,923.83,900.26,903.75,910.96,911.08,909.94,905.35,910.99
17,원/호주달러,200,말일자료,원,원자료,866.54,887.8,874.59,887.95,861.74,869.01,851.97,856.14,860.0,861.6,853.51,880.08,878.2,866.57,877.44,904.98,912.69,923.4,905.6,907.67,912.44,909.45,906.62,913.68,889.79,897.73
26,원/뉴질랜드달러,100,평균자료,원,원자료,796.48,800.5,810.19,820.19,826.61,795.39,801.05,791.47,787.49,796.0,784.31,810.27,817.64,816.0,809.6,814.68,828.89,847.2,835.09,823.16,831.35,825.71,824.21,825.49,818.09,821.53
26,원/뉴질랜드달러,200,말일자료,원,원자료,794.11,812.31,816.24,823.5,799.47,796.67,787.97,787.22,799.75,790.17,793.77,816.45,816.26,813.47,804.65,824.19,841.73,844.7,817.54,836.3,837.75,826.31,821.34,828.27,806.8,810.71
27,원/중국위안,100,평균자료,원,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,
27,원/중국위안,200,말일자료,원,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,
15,원/홍콩달러,100,평균자료,원,원자료,159.55,161.96,166.37,168.17,169.48,165.57,164.52,168.49,169.8,172.63,167.84,166.99,169.33,170.27,170.1,174.67,174.8,176.7,177.14,173.67,171.3,175.16,179.11,184.51,187.05,185.73
15,원/홍콩달러,200,말일자료,원,원자료,156.82,167.94,166.09,170.7,168.77,167.48,164.18,168.41,171.95,172.98,165.15,165.06,170.21,170.42,172.1,176.19,176.09,177.9,177.22,171.25,169.76,177.99,179.19,189.3,183.92,185.1
31,원/대만달러,100,평균자료,원,원자료,40.99,42.02,42.74,43.21,43.23,42.07,41.26,41.46,41.56,41.85,41.05,41.66,42.42,42.36,42.02,42.32,42.28,42.61,42.4,41.96,41.72,42.39,43.1,44.04,44.3,44.06
31,원/대만달러,200,말일자료,원,원자료,40.83,43.0,42.77,43.72,43.23,42.18,40.81,41.47,41.76,41.93,41.23,41.98,42.67,42.13,42.13,42.44,42.52,42.71,42.19,41.88,41.77,43.38,42.89,44.81,43.49,43.74
32,원/몽골투그릭,100,평균자료,원,원자료,0.36,0.36,0.37,0.38,0.38,0.37,0.37,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.41,0.41,0.4,0.39,0.4,0.41,0.42,0.43,0.42
32,원/몽골투그릭,200,말일자료,원,원자료,0.35,0.37,0.37,0.38,0.38,0.38,0.37,0.38,0.39,0.39,0.37,0.38,0.39,0.39,0.4,0.41,0.41,0.41,0.41,0.39,0.39,0.41,0.41,0.43,0.42,0.41
33,원/카자흐스탄텡게,100,평균자료,원,원자료,2.69,2.81,2.89,2.92,2.98,2.89,2.89,2.91,2.85,2.83,2.83,2.85,2.93,2.96,2.96,3.06,3.09,3.03,2.91,2.83,2.78,2.8,2.81,2.75,2.76,2.86
33,원/카자흐스탄텡게,200,말일자료,원,원자료,2.67,2.94,2.89,2.94,2.96,2.89,2.88,2.86,2.81,2.87,2.81,2.84,2.97,2.96,3.0,3.12,3.09,2.98,2.92,2.77,2.74,2.83,2.72,2.8,2.76,2.88
28,원/태국바트,100,평균자료,원,원자료,37.38,37.41,37.88,38.56,38.86,37.17,37.13,37.67,37.23,37.07,36.95,37.25,37.65,37.14,37.03,37.2,37.29,37.59,38.13,38.93,39.98,40.74,40.48,41.98,42.37,42.82
28,원/태국바트,200,말일자료,원,원자료,37.48,37.65,38.2,39.28,38.12,36.84,37.37,37.73,36.95,37.67,37.05,37.62,37.61,37.06,36.91,37.27,37.49,37.71,38.6,39.36,40.75,41.0,40.51,43.0,42.59,42.29
24,원/싱가포르달러,100,평균자료,원,원자료,940.01,954.91,973.81,991.34,991.74,963.39,963.32,976.83,975.74,986.72,971.15,978.24,991.21,990.48,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
24,원/싱가포르달러,200,말일자료,원,원자료,934.76,978.13,982.04,1003.56,978.94,967.96,961.18,978.96,982.07,991.17,967.17,976.86,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
29,원/인도네시아루피아(100루피아),100,평균자료,원,원자료,8.16,8.4,8.54,8.88,8.97,8.68,8.56,8.65,8.67,8.57,8.39,8.41,8.48,8.51,8.48,8.53,8.5,8.45,8.51,8.58,8.71,8.74,8.81,8.95,8.96,8.85
29,원/인도네시아루피아(100루피아),200,말일자료,원,원자료,8.21,8.63,8.66,9.11,8.82,8.76,8.48,8.67,8.68,8.51,8.37,8.36,8.43,8.5,8.49,8.48,8.47,8.47,8.49,8.66,8.72,8.81,8.79,9.11,8.81,8.75
25,원/말레이지아링깃,100,평균자료,원,원자료,287.5,291.65,292.17,298.44,294.44,279.97,279.76,286.34,284.28,284.4,279.22,279.6,282.79,279.37,282.17,287.11,289.53,293.0,295.34,305.9,312.72,316.32,314.42,321.71,324.65,325.42
25,원/말레이지아링깃,200,말일자료,원,원자료,289.51,294.16,294.81,300.22,287.34,281.02,281.04,284.78,286.74,284.05,277.07,279.85,281.46,279.72,284.56,289.19,292.62,294.35,299.53,309.74,319.9,315.89,313.63,329.23,326.27,323.91
34,원/필리핀페소,100,평균자료,원,원자료,22.67,23.18,23.85,23.89,23.82,23.23,23.44,23.45,23.42,23.78,23.46,23.46,23.64,23.76,23.82,24.02,23.62,23.5,23.66,23.73,23.8,23.65,23.74,24.56,24.92,24.9
34,원/필리핀페소,200,말일자료,원,원자료,22.53,23.72,23.96,24.05,23.47,23.68,23.31,23.28,23.54,23.78,23.24,23.19,23.59,23.7,23.96,23.92,23.5,23.65,23.64,23.75,23.58,23.75,23.76,25.41,24.58,24.82
35,원/베트남동(100동),100,평균자료,원,원자료,5.31,5.38,5.53,5.62,5.66,5.52,5.43,5.52,5.49,5.51,5.38,5.37,5.41,5.44,5.38,5.44,5.37,5.42,5.45,5.41,5.41,5.43,5.49,5.64,5.75,5.69
35,원/베트남동(100동),200,말일자료,원,원자료,5.23,5.53,5.55,5.71,5.63,5.57,5.4,5.48,5.51,5.51,5.31,5.32,5.45,5.42,5.43,5.44,5.41,5.46,5.48,5.37,5.36,5.47,5.5,5.77,5.71,5.64
36,원/브루나이달러,100,평균자료,원,원자료,940.01,954.91,973.81,991.34,991.74,963.39,963.32,976.83,975.74,986.72,971.15,978.24,991.21,990.49,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
36,원/브루나이달러,200,말일자료,원,원자료,934.76,978.13,982.04,1003.56,978.94,967.96,961.18,978.96,982.07,991.17,967.17,976.86,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
37,원/인도루피,100,평균자료,원,원자료,15.24,15.39,15.87,16.1,16.14,15.78,15.66,15.92,16.01,16.23,15.74,15.66,15.92,16.05,16.03,16.4,16.38,16.53,16.55,16.14,15.93,16.19,16.52,16.89,16.89,16.62
37,원/인도루피,200,말일자료,원,원자료,15.07,15.94,15.88,16.4,15.99,16.0,15.56,15.99,16.14,16.25,15.47,15.5,16.01,16.09,16.15,16.52,16.52,16.65,16.53,15.92,15.76,16.45,16.51,17.19,16.56,16.48
38,원/파키스탄루피,100,평균자료,원,원자료,5.37,4.76,4.66,4.64,4.66,4.53,4.57,4.49,4.45,4.82,4.59,4.6,4.73,4.77,4.78,4.92,4.9,4.95,4.97,4.86,4.8,4.9,5.01,5.16,5.22,5.18
38,원/파키스탄루피,200,말일자료,원,원자료,4.67,5.07,4.6,4.72,4.64,4.58,4.52,4.34,4.7,4.81,4.51,4.57,4.76,4.77,4.84,4.95,4.94,4.99,4.97,4.79,4.75,4.98,5.02,5.28,5.14,5.15
39,원/방글라데시타카,100,평균자료,원,원자료,11.88,11.94,12.34,12.42,12.39,11.98,11.84,12.06,12.11,12.25,11.86,11.86,12.06,12.13,12.13,12.46,11.85,11.75,11.77,11.45,11.17,11.39,11.66,12.0,11.97,11.89
39,원/방글라데시타카,200,말일자료,원,원자료,11.58,12.35,12.16,12.62,12.32,12.14,11.8,12.1,12.2,12.27,11.69,11.75,12.12,12.15,12.27,12.56,11.72,11.82,11.78,11.17,11.04,11.58,11.67,12.3,11.75,11.85
40,원/멕시코 페소,100,평균자료,원,원자료,65.6,68.26,70.95,72.98,74.88,75.17,75.98,77.66,77.03,74.57,75.27,75.77,77.53,77.9,79.32,81.46,81.35,75.84,76.44,70.68,67.84,69.04,68.69,70.82,70.76,70.57
40,원/멕시코 페소,200,말일자료,원,원자료,65.43,71.71,72.04,74.29,74.86,76.66,76.72,78.85,76.64,74.9,74.56,75.97,77.57,78.0,81.09,81.02,80.94,75.22,73.82,67.26,67.07,68.56,68.29,71.17,69.21,70.28
41,원/브라질 헤알,100,평균자료,원,원자료,239.75,245.81,250.69,263.0,267.0,266.95,267.69,269.35,269.55,266.95,267.17,266.09,269.44,268.47,267.21,266.97,265.62,256.36,249.65,243.59,240.39,241.78,240.51,235.24,240.28,250.76
41,원/브라질 헤알,200,말일자료,원,원자료,240.14,253.29,255.94,269.19,262.52,270.3,270.36,270.18,269.65,268.01,262.74,265.73,268.8,268.52,268.53,269.38,264.53,252.52,246.7,237.22,242.81,240.04,231.85,237.94,243.96,246.48
42,원/아르헨티나페소,100,평균자료,원,원자료,6.87,6.64,6.44,6.13,5.76,5.23,4.85,4.18,3.8,3.86,3.71,2.51,1.62,1.6,1.57,1.58,1.54,1.53,1.5,1.44,1.39,1.39,1.39,1.41,1.4,1.37
42,원/아르헨티나페소,200,말일자료,원,원자료,6.59,6.69,6.25,6.04,5.54,5.12,4.68,3.78,3.84,3.87,3.58,1.6,1.61,1.58,1.57,1.57,1.54,1.52,1.49,1.41,1.37,1.4,1.38,1.43,1.36,1.36
16,원/스웨덴크로나,100,평균자료,원,원자료,119.87,121.73,124.57,127.51,127.13,120.45,122.19,121.96,119.75,122.55,122.46,126.91,127.92,127.84,127.97,126.51,127.05,131.62,130.15,130.17,130.4,129.76,128.03,130.56,131.0,133.73
16,원/스웨덴크로나,200,말일자료,원,원자료,118.15,126.78,125.81,130.2,121.67,120.82,121.53,121.94,122.28,121.38,124.42,129.0,127.82,129.06,125.82,126.15,129.9,130.72,128.58,130.66,130.92,129.55,127.62,133.23,129.52,133.84
18,원/덴마크크로나,100,평균자료,원,원자료,180.47,182.9,187.83,194.11,193.9,188.74,190.84,193.1,190.79,191.32,189.8,190.77,193.66,192.83,194.1,196.63,197.89,199.16,201.02,199.89,198.61,198.6,198.82,201.46,201.61,201.81
18,원/덴마크크로나,200,말일자료,원,원자료,179.17,187.77,190.85,198.23,190.53,191.56,189.4,193.81,190.66,192.35,189.67,191.38,193.58,193.98,194.8,198.13,199.91,199.37,200.67,198.37,197.68,201.38,197.39,204.98,199.52,200.7
19,원/노르웨이크로나,100,평균자료,원,원자료,125.47,124.38,123.99,125.84,123.11,120.12,125.09,126.19,123.93,122.66,119.96,123.31,127.29,126.28,125.53,125.46,127.2,130.16,128.28,126.52,125.68,125.51,126.18,127.9,128.17,129.1
19,원/노르웨이크로나,200,말일자료,원,원자료,123.07,127.45,125.45,126.25,118.22,121.52,125.61,124.72,124.26,121.4,120.93,126.41,127.45,125.95,124.03,125.37,130.48,130.32,126.42,127.17,125.67,126.21,126.32,129.62,126.54,128.06
43,원/러시아루블,100,평균자료,원,원자료,17.81,17.41,17.11,16.28,16.81,15.58,14.2,13.82,13.82,13.93,14.47,14.34,14.82,14.52,14.55,14.71,15.01,15.67,15.84,15.22,14.67,14.12,13.86,13.83,14.04,15.6
43,원/러시아루블,200,말일자료,원,원자료,17.57,17.65,16.87,16.37,17.59,15.11,13.9,13.72,14.13,14.62,14.53,14.57,14.85,14.57,14.55,14.8,15.25,16.34,16.15,14.59,13.99,14.27,12.91,13.3,14.55,16.42
44,원/헝가리포린트,100,평균자료,원,원자료,3.4,3.54,3.63,3.85,3.88,3.79,3.76,3.73,3.69,3.7,3.73,3.73,3.78,3.71,3.66,3.73,3.81,3.77,3.82,3.78,3.75,3.69,3.62,3.65,3.65,3.73
44,원/헝가리포린트,200,말일자료,원,원자료,3.42,3.7,3.74,3.96,3.83,3.84,3.67,3.8,3.64,3.75,3.74,3.73,3.73,3.67,3.69,3.78,3.83,3.75,3.79,3.77,3.71,3.68,3.55,3.72,3.66,3.74
45,원/폴란트즈워티,100,평균자료,원,원자료,285.85,287.2,298.19,311.72,318.44,315.08,319.9,322.84,309.79,317.05,321.55,328.52,330.95,332.31,336.1,340.74,344.91,344.01,350.09,347.51,346.5,343.09,342.08,351.91,353.42,360.8
45,원/폴란트즈워티,200,말일자료,원,원자료,282.89,296.47,304.09,322.79,312.76,320.46,319.69,323.36,308.46,322.76,325.64,329.11,331.72,334.79,337.35,342.44,348.3,344.82,349.02,345.32,344.83,344.98,341.79,357.33,354.26,359.47
46,원/체코코루나,100,평균자료,원,원자료,56.0,57.4,59.04,61.73,61.2,59.32,59.53,59.68,58.37,58.03,57.83,58.15,58.43,57.01,57.21,58.03,59.49,59.97,59.33,59.21,59.07,58.56,58.6,59.79,59.75,60.03
46,원/체코코루나,200,말일자료,원,원자료,55.9,59.11,60.4,62.93,59.87,60.17,58.85,59.93,58.21,58.49,58.28,57.76,58.24,57.16,57.45,58.78,60.29,59.36,58.92,59.03,58.64,59.21,58.25,60.68,59.25,59.9
20,원/사우디아라비아리얄,100,평균자료,원,원자료,332.02,338.69,347.73,351.89,354.17,345.74,342.95,351.49,354.45,360.1,349.35,347.66,352.92,355.11,354.81,364.68,364.05,367.93,368.79,360.87,355.74,362.43,371.01,381.83,387.85,385.44
20,원/사우디아라비아리얄,200,말일자료,원,원자료,327.3,351.03,347.33,357.22,352.58,350.03,341.28,352.25,358.49,360.58,343.61,343.85,354.82,355.67,359.1,367.59,367.0,370.4,369.07,355.84,351.79,368.32,371.26,391.43,382.1,383.85
47,원/카타르리얄,100,평균자료,원,원자료,341.08,348.1,357.22,361.03,364.25,355.8,352.98,361.73,364.56,370.34,359.46,357.67,363.11,365.22,364.71,375.04,374.53,378.55,379.38,371.37,366.18,373.31,382.2,393.46,399.32,396.54
47,원/카타르리얄,200,말일자료,원,원자료,335.62,360.79,356.68,367.62,362.68,360.09,351.2,362.51,368.87,370.12,353.51,353.95,365.0,365.83,369.29,378.04,377.63,381.05,379.7,366.34,362.03,379.4,382.61,403.24,393.14,395.01
48,원/이스라엘셰켈,100,평균자료,원,원자료,361.55,359.86,360.62,363.19,362.4,356.26,350.77,352.61,348.51,338.23,344.04,354.9,356.68,365.53,366.56,364.53,369.12,370.55,376.01,362.8,357.94,361.88,374.41,396.31,402.37,405.37
48,원/이스라엘셰켈,200,말일자료,원,원자료,354.94,359.4,362.56,368.44,356.65,355.38,345.8,349.31,351.48,336.72,349.91,355.5,363.72,371.23,366.99,366.98,371.58,369.75,369.7,364.73,356.99,373.32,381.63,401.91,400.08,402.43
