통계표,코드(계정항목),계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3.2.1.2. 국가별 수입,FIEF,국별수입(관세청),천달러 ,원자료,519584473,515585515,525514506,436498973,406192887,478478296,535202428,503342947,467632763,615093447,731369657,642572126,632100032
3.2.1.2. 국가별 수입,FIEF24,  수입총액(네덜란드),천달러 ,원자료,3994092,4213728,4605487,4349307,4229489,6141584,6896946,4195815,6229994,9163078,8130459,8061948,8176755
3.2.1.2. 국가별 수입,FIEF04,  수입총액(대만),천달러 ,원자료,14011960,14632594,15689769,16653850,16403201,18072988,16738374,15717684,17837013,23485813,28274594,24370640,30222478
3.2.1.2. 국가별 수입,FIEF23,  수입총액(독일),천달러 ,원자료,17645374,19335968,21298750,20956544,18917005,19748687,20853971,19936937,20680918,21996339,23614856,23611170,22300977
3.2.1.2. 국가별 수입,FIEF13,  수입총액(러시아),천달러 ,원자료,11354318,11495500,15669238,11308287,8640613,12039530,17504050,14566507,10630194,17356692,14817362,8891986,6872733
3.2.1.2. 국가별 수입,FIEF06,  수입총액(말레이지아),천달러 ,원자료,9796411,11095821,11097901,8609437,7507773,8714718,10205684,9279940,8892564,10456180,15249061,15237142,13981975
3.2.1.2. 국가별 수입,FIEF31,  수입총액(미국),천달러 ,원자료,43340962,41511916,45283254,44024430,43215929,50749363,58868313,61878564,57492178,73213414,81784723,71272030,72121396
3.2.1.2. 국가별 수입,FIEF33,  수입총액(브라질),천달러 ,원자료,6085364,5573117,4907128,4058698,3444723,3702337,3908060,4295597,4237366,6621717,7930236,6724277,7297996
3.2.1.2. 국가별 수입,FIEF11,  수입총액(사우디아라비아),천달러 ,원자료,39707051,37665214,36694536,19561487,15741673,19590480,26335761,21840581,15979621,24271348,41640268,32762549,31502205
3.2.1.2. 국가별 수입,FIEF21,  수입총액(스위스),천달러 ,원자료,2581096,2715495,2755335,2454398,2350355,2734694,3037455,2979725,2748948,3360381,3243517,3235614,3507542
3.2.1.2. 국가별 수입,FIEF05,  수입총액(싱가포르),천달러 ,원자료,9676408,10369435,11303182,7942129,6806348,8904693,7974345,6660476,8437992,10691293,10347783,11178605,10561353
3.2.1.2. 국가별 수입,FIEF12,  수입총액(아랍에미레이트),천달러 ,원자료,15115287,18122897,16194256,8614672,6941053,9557058,9287378,8991147,5692741,7318737,15492751,16422761,17988201
3.2.1.2. 국가별 수입,FIEF22,  수입총액(영국),천달러 ,원자료,6366770,6193715,7446596,6127123,5212314,6319224,6809491,4168905,4370370,5809621,5775250,5147813,4570578
3.2.1.2. 국가별 수입,FIEF25,  수입총액(이탈리아),천달러 ,원자료,4828203,5383466,6260922,5824583,5424665,5695573,6302771,6449282,6650955,8005754,8356299,8330534,7724472
3.2.1.2. 국가별 수입,FIEF07,  수입총액(인도),천달러 ,원자료,6920826,6180172,5274668,4240565,4189284,4947847,5884707,5565259,4900726,8056034,8897104,6728362,6434076
3.2.1.2. 국가별 수입,FIEF09,  수입총액(인도네시아),천달러 ,원자료,15676272,13189998,12266260,8850394,8285343,9570960,11161192,8819773,7594696,10725095,15734850,12145901,12568965
3.2.1.2. 국가별 수입,FIEF01,  수입총액(일본),천달러 ,원자료,64363080,60029355,53768313,45853834,47466592,55124725,54603749,47580853,46023036,54642165,54711795,47656468,47898729
3.2.1.2. 국가별 수입,FIEF02,  수입총액(중국),천달러 ,원자료,80784595,83052877,90082226,90250275,86980135,97860114,106488592,107228736,108884645,138628127,154576314,142857338,139867771
3.2.1.2. 국가별 수입,FIEF34,  수입총액(캐나다),천달러 ,원자료,5247371,4717331,5442591,3983082,3942541,5042593,5753279,5758663,4414692,6369776,8538968,6194625,6852727
3.2.1.2. 국가별 수입,FIEF10,  수입총액(태국),천달러 ,원자료,5353245,5231003,5344776,4854350,4562808,5204674,5582443,5317602,5196533,7014746,7876692,7366589,7173754
3.2.1.2. 국가별 수입,FIEF32,  수입총액(파나마),천달러 ,원자료,594848,516357,495355,390764,339258,141295,153026,86767,271541,457945,593492,329359,146961
3.2.1.2. 국가별 수입,FIEF26,  수입총액(프랑스),천달러 ,원자료,4924008,6012939,6823519,6157606,5843135,5745778,5879163,5834602,5880861,6642005,7703991,8065561,8146718
3.2.1.2. 국가별 수입,FIEF08,  수입총액(필리핀),천달러 ,원자료,3283935,3706235,3331239,3251634,3228542,3702312,3569396,3658008,3085957,3893738,5177612,4645089,4430596
3.2.1.2. 국가별 수입,FIEF41,  수입총액(호주),천달러 ,원자료,22987917,20784616,20413019,16437806,15175870,19159711,20718640,20608238,18707121,32917963,44929397,32822955,29956277
3.2.1.2. 국가별 수입,FIEF03,  수입총액(홍콩),천달러 ,원자료,2058419,1929242,1749889,1493026,1614845,1879331,1997322,1779542,1540394,2247389,1877605,1831871,2256275
