코드(계정항목),계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
KOR,한국,%,원자료,2.548,3.291,3.215,2.92,3.172,3.433,3.176,2.314,-0.7,4.613,2.728,1.404,2.0
AUS,호주,%,원자료,2.602,2.595,2.19,2.759,2.28,2.878,2.172,-0.12,2.111,4.242,3.442,1.431,1.3
AUT,오스트리아,%,원자료,0.628,-0.251,0.756,1.304,2.117,2.272,2.484,1.755,-6.318,4.795,5.278,-0.955,-1.174
BEL,벨기에,%,원자료,0.216,0.305,1.766,1.474,1.194,1.474,1.878,2.443,-4.793,6.203,4.233,1.252,0.996
CAN,캐나다,%,원자료,1.756,2.326,2.873,0.65,1.039,3.034,2.743,1.908,-5.038,5.951,4.189,1.529,1.528
CHL,칠레,%,원자료,6.155,3.309,1.793,2.152,1.753,1.358,3.99,0.634,-6.143,11.334,2.059,0.219,2.6
CHN,중국,%,원자료,7.864,7.766,7.426,7.041,6.849,6.947,6.75,6.11,2.085,8.449,2.951,5.249,5
CZE,체코,%,원자료,-0.771,-0.042,2.245,4.959,2.581,5.174,2.83,3.566,-5.305,4.029,2.847,-0.055,1.134
DNK,덴마크,%,원자료,-0.005,1.393,1.278,2.104,3.073,3.056,1.86,1.711,-1.78,7.382,1.54,2.495,3.566
EST,에스토니아,%,원자료,3.672,1.756,3.323,1.838,3.093,5.635,3.7,3.727,-2.884,7.154,0.06,-3.023,-0.261
FIN,핀란드,%,원자료,-1.523,-0.98,-0.478,0.467,2.572,3.303,1.193,1.35,-2.491,2.676,0.763,-0.947,-0.154
FRA,프랑스,%,원자료,0.184,0.782,0.998,1.067,0.86,2.084,1.646,2.027,-7.441,6.882,2.571,0.936,1.166
DEU,독일,%,원자료,0.474,0.386,2.169,1.653,2.295,2.716,1.116,0.988,-4.095,3.67,1.37,-0.266,-0.239
GRC,그리스,%,원자료,-8.331,-2.272,0.792,-0.228,-0.032,1.473,2.065,2.277,-9.196,8.654,5.744,2.332,2.272
HUN,헝가리,%,원자료,-1.339,2.032,4.334,3.66,2.439,4.124,5.606,5.077,-4.339,7.121,4.261,-0.946,0.533
ISL,아이슬란드,%,원자료,1.064,4.552,1.687,4.437,6.304,4.195,4.889,1.861,-6.94,5.254,8.993,5.037,0.56
IDN,인도네시아,%,원자료,6.03,5.557,5.007,4.876,5.033,5.07,5.174,5.019,-2.066,3.703,5.307,5.048,5.03
IRL,아일랜드,%,원자료,-0.399,2.192,9.336,24.616,1.223,10.05,7.544,5.041,7.158,16.256,8.62,-5.53,1.221
ISR,이스라엘,%,원자료,2.448,4.086,3.776,2.238,4.46,4.347,4.004,3.71,-2.022,9.388,6.263,1.827,0.872
ITA,이탈리아,%,원자료,-3.125,-1.818,-0.001,0.886,1.236,1.604,0.827,0.429,-8.868,8.931,4.821,0.715,0.726
JPN,일본,%,원자료,1.375,2.005,0.296,1.561,0.754,1.675,0.643,-0.402,-4.169,2.697,0.942,1.475,0.1
LVA,라트비아,%,원자료,7.305,2.096,2.095,3.783,2.552,3.399,4.31,0.675,-3.469,6.943,1.807,2.854,-0.442
LUX,룩셈부르크,%,원자료,1.65,3.172,2.623,2.27,4.978,1.317,1.219,2.916,-0.91,7.168,1.38,-1.096,0.8
MEX,멕시코,%,원자료,3.553,0.852,2.504,2.702,1.772,1.872,1.972,-0.393,-8.354,6.048,3.711,3.295,1.2
NLD,네덜란드,%,원자료,-0.978,-0.03,1.613,2.121,2.424,2.782,2.259,2.3,-3.868,6.277,5.007,0.075,0.938
NZL,뉴질랜드,%,원자료,2.672,1.876,3.669,4.216,3.884,4.295,3.847,2.425,0.172,4.624,3.925,1.289,-0.5
NOR,노르웨이,%,원자료,2.718,1.016,2.048,1.857,1.165,2.464,0.829,1.124,-1.278,3.909,3.246,0.072,2.1
POL,폴란드,%,원자료,1.512,0.684,3.921,4.432,3.031,5.152,6.246,4.58,-2.036,6.927,5.255,0.139,2.852
PRT,포르투갈,%,원자료,-4.051,-0.984,0.741,1.59,2.004,3.315,2.946,2.746,-8.205,5.559,6.986,2.613,1.9
RUS,러시아,%,원자료,4.024,1.755,0.736,-1.973,0.194,1.826,2.807,2.033,-2.7,5.9,-1.2,4.1,4.1
SVK,슬로바키아,%,원자료,1.569,0.703,2.708,5.177,1.948,2.875,4.062,2.276,-2.586,5.727,0.45,1.378,2.026
SVN,슬로베니아,%,원자료,-2.916,-0.824,2.763,2.393,3.034,5.174,4.379,3.505,-4.085,8.39,2.699,2.113,1.591
ESP,스페인,%,원자료,-2.865,-1.427,1.52,4.061,2.915,2.896,2.395,1.961,-10.94,6.683,6.179,2.676,3.246
SWE,스웨덴,%,원자료,-0.414,1.138,2.296,4.41,2.35,1.825,1.903,2.55,-2.005,5.938,1.459,-0.23,1
CHE,스위스,%,원자료,1.179,1.792,2.35,1.645,2.069,1.363,2.86,1.142,-2.142,5.56,3.044,0.683,1.3
TUR,튀르키예,%,원자료,4.788,8.486,4.94,6.084,3.323,7.502,3.013,0.819,1.86,11.439,5.533,5.111,3.2
GBR,영국,%,원자료,1.509,1.8,3.195,2.223,1.922,2.657,1.405,1.624,-10.297,8.576,4.839,0.382,0.935
USA,미국,%,원자료,2.289,2.118,2.524,2.946,1.819,2.458,2.967,2.584,-2.163,6.055,2.512,2.888,2.8
