통계표,코드(구분코드),구분코드,코드(계정항목),계정항목,단위,변환,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03
9.1.6.1. 주요국제금리,IRLT,장기금리,KOR,한국,%,원자료,3.41,3.45,3.45,3.32,3.4,3.61,3.68,3.86,3.95,4.27,3.89,3.42,3.35,3.43,3.39,3.57,3.53,3.34,3.17,3.0,3.01,3.07,3.01,2.77,2.82,2.83,
9.1.6.1. 주요국제금리,IRLT,장기금리,USA,미국,%,원자료,3.53,3.75,3.66,3.46,3.57,3.75,3.9,4.17,4.38,4.8,4.5,4.02,4.06,4.21,4.21,4.54,4.48,4.31,4.25,3.87,3.72,4.1,4.36,4.39,4.63,4.45,
9.1.6.1. 주요국제금리,IRLT,장기금리,CHN,중국,%,원자료,2.9,2.9,2.85,2.78,2.69,2.64,2.66,2.56,2.68,2.69,2.67,2.56,2.43,2.34,2.29,2.3,2.29,2.21,2.15,2.17,2.15,2.15,2.02,1.68,1.63,,
9.1.6.1. 주요국제금리,IRLT,장기금리,JPN,일본,%,원자료,0.49,0.5,0.32,0.39,0.43,0.4,0.6,0.64,0.77,0.95,0.66,0.62,0.73,0.71,0.73,0.87,1.07,1.05,1.05,0.89,0.86,0.94,1.05,1.09,1.25,1.37,
9.1.6.1. 주요국제금리,IRLT,장기금리,DEU,독일,%,원자료,2.19,2.37,2.38,2.36,2.34,2.38,2.46,2.55,2.66,2.82,2.6,2.1,2.17,2.33,2.35,2.45,2.52,2.48,2.46,2.21,2.17,2.23,2.31,2.18,2.48,2.41,
9.1.6.1. 주요국제금리,IRLT,장기금리,IND,인도,%,원자료,7.39,7.33,7.36,7.18,7.01,7.05,7.11,7.18,7.17,7.35,7.27,7.22,7.2,7.09,7.07,7.15,7.05,7.02,7.01,6.91,6.83,6.79,6.82,6.78,6.76,6.73,
9.1.6.1. 주요국제금리,IRLT,장기금리,GBR,영국,%,원자료,3.51,3.56,3.56,3.65,3.96,4.37,4.44,4.53,4.42,4.57,4.27,3.86,3.93,4.12,4.03,4.22,4.22,4.16,4.14,3.94,3.91,4.2,4.42,4.43,4.66,4.51,
9.1.6.1. 주요국제금리,IRLT,장기금리,FRA,프랑스,%,원자료,2.69,2.87,2.92,2.9,2.94,2.93,3.04,3.11,3.24,3.45,3.19,2.65,2.74,2.85,2.82,2.97,3.03,3.15,3.14,2.94,2.9,2.99,3.09,3.01,3.32,3.15,
9.1.6.1. 주요국제금리,IRLT,장기금리,CAN,캐나다,%,원자료,2.94,3.17,2.99,2.92,3.05,3.34,3.45,3.65,3.82,4.06,3.71,3.23,3.35,3.5,3.44,3.7,3.64,3.39,3.41,3.07,2.94,3.19,3.28,3.16,3.29,3.06,
9.1.6.1. 주요국제금리,IRLT,장기금리,ITA,이탈리아,%,원자료,4.24,4.27,4.24,4.23,4.31,4.07,4.16,4.22,4.51,4.89,4.43,3.82,3.81,3.87,3.7,3.86,3.84,3.94,3.83,3.68,3.57,3.5,3.57,3.32,3.68,3.58,
