코드(업종코드),업종코드,코드(BSI코드),BSI코드,단위,변환,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
C0000,제조업,AA,업황실적BSI,,원자료,66,61,67,67,65,62,64,61,65,64,70,70,74,62,71,70,75,79.0,73.0,69.0,68.0,70.0,66.0,67.0,62.0,60.0
C0000,제조업,AB,매출실적BSI,,원자료,86,76,74,72,72,70,70,78,65,67,81,72,90,88,86,86,96,82.0,97.0,91.0,80.0,87.0,86.0,94.0,75.0,78.0
C0000,제조업,AM,수출실적BSI,,원자료,88,66,70,73,72,70,70,79,66,72,84,81,94,90,95,91,99,89.0,99.0,97.0,94.0,94.0,101.0,105.0,89.0,92.0
C0000,제조업,AL,내수판매실적BSI,,원자료,70,72,78,72,71,78,75,71,67,68,74,69,90,81,83,86,88,75.0,87.0,83.0,76.0,82.0,72.0,86.0,72.0,71.0
C0000,제조업,AC,생산실적BSI,,원자료,90,89,84,76,81,78,83,80,69,79,90,75,87,79,74,91,98,84.0,94.0,94.0,86.0,86.0,86.0,91.0,79.0,78.0
C0000,제조업,AD,신규수주실적BSI,,원자료,82,68,72,69,70,67,68,76,62,68,77,72,86,86,85,82,92,84.0,89.0,82.0,84.0,84.0,84.0,86.0,81.0,77.0
C0000,제조업,AG,제품재고실적BSI,,원자료,104,108,109,106,110,111,109,108,112,110,110,111,111,104,107,106,104,97.0,101.0,106.0,106.0,100.0,102.0,110.0,104.0,104.0
C0000,제조업,AK,가동률실적BSI,,원자료,90,89,78,79,81,78,78,81,70,73,86,75,88,80,74,92,96,87.0,92.0,88.0,83.0,88.0,84.0,88.0,75.0,80.0
C0000,제조업,AH,생산설비실적BSI,,원자료,99,104,111,111,110,107,109,108,110,106,106,102,105,105,101,101,102,,,,,,,,,
C0000,제조업,AI,설비투자실적BSI,,원자료,89,82,83,86,87,83,84,82,82,86,84,83,92,92,89,92,90,95.0,98.0,95.0,95.0,91.0,94.0,89.0,88.0,89.0
C0000,제조업,AE,채산성실적BSI,,원자료,85,68,75,75,71,72,70,78,68,75,83,74,90,80,85,77,82,83.0,85.0,89.0,76.0,82.0,77.0,74.0,76.0,75.0
C0000,제조업,AN,원자재구입가격실적BSI,,원자료,114,115,113,110,104,107,106,106,116,119,114,107,122,112,113,119,122,116.0,111.0,111.0,100.0,110.0,112.0,115.0,113.0,116.0
C0000,제조업,AF,제품판매가격실적BSI,,원자료,94,89,86,90,81,92,90,101,103,103,104,94,110,101,96,102,105,100.0,106.0,99.0,89.0,95.0,97.0,94.0,91.0,96.0
C0000,제조업,AO,자금사정실적BSI,,원자료,78,73,78,75,72,78,75,81,74,86,88,89,86,82,88,85,85,90.0,92.0,90.0,90.0,90.0,87.0,83.0,78.0,78.0
C0000,제조업,AJ,인력사정실적BSI,,원자료,91,83,90,92,92,91,93,93,93,91,92,92,91,92,92,93,93,91.0,91.0,93.0,92.0,94.0,94.0,96.0,95.0,96.0
