통계표,코드(업종코드),업종코드,코드(BSI코드),BSI코드,단위,변환,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BA,업황전망BSI,,원자료,63,65,63,69,72,66,62,66,58,66,58,67,78,74,69,72,76,76,75.0,72.0,71.0,70.0,74.0,65.0,67.0,66.0,63.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BB,매출전망BSI,,원자료,81,86,74,74,84,73,73,76,68,68,74,70,86,84,93,88,95,89,85.0,95.0,94.0,88.0,88.0,95.0,81.0,77.0,84.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BM,수출전망BSI,,원자료,80,71,76,77,80,74,70,77,70,66,77,88,89,88,92,93,101,93,88.0,100.0,99.0,95.0,94.0,103.0,91.0,91.0,93.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BL,내수판매전망BSI,,원자료,78,83,69,74,84,72,77,76,78,68,73,69,83,84,88,85,87,79,77.0,87.0,82.0,88.0,80.0,83.0,80.0,75.0,75.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BC,생산전망BSI,,원자료,97,90,82,80,88,81,77,86,73,73,84,80,90,81,81,78,94,89,89.0,94.0,97.0,92.0,82.0,88.0,84.0,79.0,86.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BD,신규수주전망BSI,,원자료,79,82,70,68,80,69,67,75,67,66,74,66,86,81,90,85,90,86,85.0,85.0,85.0,89.0,79.0,89.0,81.0,82.0,84.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BG,제품재고전망BSI,,원자료,108,103,107,109,106,110,110,109,107,110,109,110,110,112,106,105,104,103,96.0,100.0,104.0,105.0,102.0,102.0,108.0,103.0,104.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BK,가동률전망BSI,,원자료,93,90,82,73,90,81,82,83,74,74,81,76,90,82,82,78,94,87,89.0,91.0,94.0,89.0,85.0,85.0,84.0,76.0,89.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BH,생산설비전망BSI,,원자료,108,101,105,110,111,110,108,110,109,110,106,107,101,105,105,101,101,102,,,,,,,,,
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BI,설비투자전망BSI,,원자료,88,88,82,85,86,87,83,83,81,82,87,84,84,92,93,89,94,90,96.0,97.0,94.0,94.0,89.0,93.0,89.0,89.0,90.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BE,채산성전망BSI,,원자료,75,83,70,69,76,71,76,69,79,72,82,82,89,84,83,86,87,79,83.0,90.0,89.0,79.0,84.0,75.0,81.0,74.0,77.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BN,원자재구입가격전망BSI,,원자료,112,113,115,113,110,103,106,106,106,115,120,114,109,124,116,114,113,116,116.0,109.0,109.0,99.0,110.0,110.0,117.0,110.0,117.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BF,제품판매가격전망BSI,,원자료,94,98,86,85,91,81,91,87,100,95,108,98,109,107,108,106,101,97,100.0,107.0,100.0,91.0,98.0,93.0,96.0,87.0,97.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BO,자금사정전망BSI,,원자료,80,79,75,78,77,71,78,76,82,73,86,88,91,86,85,88,84,87,89.0,92.0,90.0,91.0,88.0,86.0,85.0,77.0,79.0
6.1.1.4. 기업경기조사(매출액가중 전망),C0000,제조업,BJ,인력사정전망BSI,,원자료,85,92,84,90,92,92,91,93,93,93,92,93,92,92,92,92,93,94,91.0,91.0,93.0,93.0,94.0,95.0,97.0,95.0,97.0
