통계표,코드(계정항목),계정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.2.1.2. 국가별 수입,FIEF,국별수입(관세청),천달러 ,원자료,44456822,42404636,49742555,50891152,47910522,50429027,53676256,51581093,51636341,53847824,57357549,61159671,60606721,53482054,63811102,60213185,63168380,60149906,65259838,66027733,61012837,59167185,58847655,59623062,59037259,55370498,59635920,51940137,54251194,53055480,48738114,51009758,50972525,53440582,51997805,53122854,54474175,48210988,52415190,54814253,53146033,49086044,53850545,54053264,52119854,54333812,50719115,54876760,50980009,48300091
3.2.1.2. 국가별 수입,FIEF24,  수입총액(네덜란드),천달러 ,원자료,826998,574030,1081051,818930,674480,718432,1225848,564691,572056,454455,552993,1099113,533368,619854,633744,428681,829229,983611,608101,610818,656758,430154,525365,1270776,528925,378822,741785,960546,972282,774782,487756,612087,801869,418656,457020,927417,288616,564400,692048,468368,539538,721330,264057,394462,1217287,519018,1067267,1440366,484345,747095
3.2.1.2. 국가별 수입,FIEF04,  수입총액(대만),천달러 ,원자료,1782007,1768674,1970970,1852259,1908779,1818777,2049202,2026278,1939973,1987232,2193905,2187757,2120717,1982899,2419488,2398831,2427229,2538659,2680136,2660237,2652550,2239636,1982602,2171610,1750162,1898312,2450546,1895947,2123176,1936737,2065090,2115728,1961989,2168182,2068737,1936033,2196900,2191432,2129274,2298421,2792061,2175189,2554719,2572950,2899249,2680260,2821011,2911012,2227286,2396046
3.2.1.2. 국가별 수입,FIEF23,  수입총액(독일),천달러 ,원자료,1577173,1436168,1929762,2061881,2023578,1850098,1908267,1709551,1877836,1840411,1624659,2156955,1642451,1823431,2235518,2271245,2031532,1816313,1836463,2066846,1630481,2113308,2006918,2140351,1960996,2219023,1962422,1932093,2108696,2529182,1623136,1724786,1710587,1931809,1999468,1908972,1517842,1732624,1815963,1949909,1976566,2054904,1974760,1838177,1893821,1943378,1626857,1976176,1388092,1658701
3.2.1.2. 국가별 수입,FIEF13,  수입총액(러시아),천달러 ,원자료,1001030,879841,1125761,1560840,1294682,1310181,1183477,1537346,1602907,1524646,2312061,2023922,2016619,1708454,1656503,1682872,1068994,802197,852331,923885,946436,981854,1112094,1065124,792251,868371,915577,816895,806344,749080,851819,572535,627670,596107,613765,681573,531098,602597,557421,528178,619769,453789,502672,897327,589937,552215,503175,534555,502117,485402
3.2.1.2. 국가별 수입,FIEF06,  수입총액(말레이지아),천달러 ,원자료,715623,784989,837988,776237,923161,902933,890220,710923,924906,999565,845604,1144029,1563302,1208933,1325683,1168138,997825,966204,1220666,1255579,1764247,1320383,1196759,1261341,1368578,1404046,1373198,1027784,1388024,1407501,1150304,1108665,1130890,1286527,1247293,1344332,1367470,1116085,1061580,1027196,1015887,1135521,1049016,1256212,1039620,1215787,1376059,1321543,1346187,1383914
3.2.1.2. 국가별 수입,FIEF31,  수입총액(미국),천달러 ,원자료,5018162,5761028,6221033,6440357,6436130,6489351,6339477,6210232,5959730,5995841,6640496,5701577,7105625,5965125,6996572,6606658,7196286,6769779,6690429,7779216,6657837,6692906,6529866,6794422,6995423,6011957,6675931,5510740,6017116,5531066,5319602,5390722,5122090,6212986,6204912,6279486,6138690,5612425,5974872,6012384,6374600,5495891,7918423,6256968,5457728,5967398,5437975,5474042,5830591,5733114
3.2.1.2. 국가별 수입,FIEF33,  수입총액(브라질),천달러 ,원자료,486413,536480,476313,448989,511991,746178,777555,429071,378983,642143,565226,622374,634771,645044,750790,537975,489649,625415,824072,616648,778015,715126,711694,601038,691464,655940,660549,437377,687933,549849,460788,378265,637345,686141,383632,494994,680258,662164,450516,650669,654813,283156,627358,413218,636443,869201,551543,818658,682122,477789
3.2.1.2. 국가별 수입,FIEF11,  수입총액(사우디아라비아),천달러 ,원자료,1302924,1590237,1493344,1686216,1821417,1925312,1839191,2200441,2085924,2434351,2565113,3326878,3291498,2713941,3468901,3530835,3730847,3199895,3921857,4649287,3486158,3217906,3233247,3195896,2768103,2688095,3016325,2870403,2445653,2243517,2539245,2692435,2996731,2569486,2951579,2980977,2662200,2367782,2608307,2842864,3040377,2405525,2762350,2559808,2588557,2528307,2454926,2681202,2460780,2363627
3.2.1.2. 국가별 수입,FIEF21,  수입총액(스위스),천달러 ,원자료,272169,264890,303191,266753,268807,262021,307996,259141,273534,256303,263422,362153,293951,236441,289569,259329,272030,256165,289127,270541,247629,256859,296207,275670,263819,270381,301251,263128,284086,270834,257309,242943,273498,273292,245903,289170,281670,261348,287511,354205,290400,272641,327340,264142,270839,300220,313633,283592,284267,350709
