통계표,코드(계정항목),계정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
"1.3.2.2. 시장금리(월,분기,년)",1020000,무담보콜금리 전체,연%,원자료,3.472,3.585,3.464,3.52,3.53,3.547,3.518,3.532,3.527,3.33,3.248,3.058,3.058,2.967
"1.3.2.2. 시장금리(월,분기,년)",1030000,  담보콜금리(1일),연%,원자료,,,,,,,,,,,,,,
"1.3.2.2. 시장금리(월,분기,년)",1025000,KORIBOR(3개월),연%,원자료,3.71,3.69,3.67,3.57,3.59,3.59,3.48,3.45,3.49,3.43,3.4,3.31,3.12,2.98
"1.3.2.2. 시장금리(월,분기,년)",2010000,CD(91일),연%,원자료,3.74,3.69,3.65,3.57,3.6,3.6,3.54,3.5,3.52,3.43,3.42,3.35,3.04,2.95
"1.3.2.2. 시장금리(월,분기,년)",5030000,국고채(1년),연%,원자료,3.384,3.434,3.374,3.44,3.434,3.341,3.209,3.073,2.939,2.857,2.861,2.709,2.637,2.654
"1.3.2.2. 시장금리(월,분기,년)",5040000,국고채(5년),연%,원자료,3.302,3.388,3.342,3.495,3.467,3.284,3.107,2.948,2.918,2.974,2.909,2.683,2.694,2.71
"1.3.2.2. 시장금리(월,분기,년)",5050000,국고채(10년),연%,원자료,3.353,3.429,3.39,3.567,3.527,3.337,3.171,2.999,3.011,3.07,3.006,2.771,2.821,2.83
"1.3.2.2. 시장금리(월,분기,년)",6010300,통안증권(91일),연%,원자료,3.416,3.431,3.463,3.463,3.447,3.443,3.37,3.285,3.202,3.094,3.043,2.969,2.881,2.85
"1.3.2.2. 시장금리(월,분기,년)",7020000,"회사채(3년, AA-)",연%,원자료,4.013,4.053,3.944,3.974,3.876,3.708,3.542,3.418,3.448,3.486,3.428,3.236,3.229,3.206
"1.3.2.2. 시장금리(월,분기,년)",8020000,MMF(7일),연%,원자료,3.95,3.88,3.81,3.71,3.67,3.65,3.63,3.57,3.55,3.5,3.42,3.35,3.34,3.23
"1.3.2.2. 시장금리(월,분기,년)",8030000,CMA(수시형),연%,원자료,2.97,2.97,2.97,2.97,2.97,2.96,2.93,2.93,2.92,2.79,2.72,2.49,2.46,2.43
