통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,1,원/미국달러(매매기준율),100,평균자료,원 ,원자료,1097.49,1111.72,1131.02,1119.4,1123.28,1121.3,1143.98,1160.34,1169.54,1182.82,1182.91,1183.7,1194.01,1198.34,1221.03,1232.34,1269.88,1277.35,1307.4,1318.44,1391.59,1426.66,1364.1,1296.22,1247.25,1270.74,1305.73,1320.01,1328.21,1296.71,1286.3,1318.47,1329.47,1350.69,1310.39,1303.98,1323.57,1331.74,1330.69,1367.83,1365.39,1380.13,1383.38,1354.15,1334.82,1361,1393.38,1434.42,1455.79,1445.56
3.1.2.1. 주요국 통화의 대원화환율,1,원/미국달러(매매기준율),200,말일자료,원 ,원자료,1114.6,1108.4,1133.5,1107.4,1116,1130,1147.4,1164.4,1184.9,1171.7,1193.4,1185.5,1202.4,1202.7,1210.8,1269.4,1245.8,1292.9,1304,1347.5,1434.8,1419.3,1331.5,1267.3,1228.7,1317.4,1303.8,1339.9,1322.2,1312.8,1280,1321.4,1344.8,1352.8,1289,1289.4,1330.6,1334,1346.8,1378.7,1376.5,1389.2,1384.6,1335.3,1319.6,1383.3,1394.7,1470,1433.3,1439.6
3.1.2.1. 주요국 통화의 대원화환율,53,원/위안(매매기준율),100,평균자료,원 ,원자료,169.61,172.34,173.76,171.44,174.55,174.66,176.6,179.13,181.18,184.06,185.11,185.74,187.75,188.81,192.16,191.82,188.78,190.68,194.13,193.75,198.19,198.37,189.53,185.47,183.16,185.97,189.1,191.6,190.02,180.99,178.6,181.78,182.11,184.62,180.86,182.29,184.41,184.82,184.48,188.52,188.54,189.8,189.91,189.07,188.53,191.63,193.27,196.93,198.71,198.43
3.1.2.1. 주요국 통화의 대원화환율,53,원/위안(매매기준율),200,말일자료,원 ,원자료,171.45,171.86,172.35,171.2,175.22,174.84,177.12,180.09,183.03,183.08,186.8,186.26,189.34,190.41,190.02,192.03,186.4,192.75,193.35,194.84,199.66,195.94,184.64,181.44,182.09,188.79,189.13,193.37,186.31,181.05,178.49,181.09,184.27,184.51,180.91,180.84,185.15,184.86,185.75,190.05,189.18,190.43,190.39,187.56,188.74,193.56,192.42,201.27,197.26,197.58
3.1.2.1. 주요국 통화의 대원화환율,2,원/일본엔(100엔),100,평균자료,원 ,원자료,1058.52,1055.14,1040.86,1025.98,1029.14,1018.5,1037.25,1056.31,1061.22,1044.91,1036.36,1039.51,1039.55,1039.85,1028.59,977.38,985.49,951.34,955.93,975.17,973.2,969.36,956.51,959.12,956.76,956.68,977.31,990.52,969.37,918.39,911.74,911.4,901.65,903.72,874.28,904.83,906.71,891.08,889.12,889.97,875.88,874.32,875.3,925.99,929.25,906.77,907.16,934.25,927.97,952.59
3.1.2.1. 주요국 통화의 대원화환율,2,원/일본엔(100엔),200,말일자료,원 ,원자료,1069.26,1043.15,1027.33,1016.9,1015.7,1022.12,1048.48,1058.88,1058.18,1031.65,1049.56,1030.24,1042.8,1041.52,992.74,970.16,975.61,946.45,970.53,970.65,993.25,961.19,959.54,953.18,942.22,967.36,981.44,1000.63,945.98,906.97,908.28,905.07,902.22,907.04,877.29,912.66,901.89,885.76,889.48,882.68,877.84,864.31,905.44,921.75,924.51,902.2,920.87,936.48,927.88,961.82
3.1.2.1. 주요국 통화의 대원화환율,3,원/유로,100,평균자료,원 ,원자료,1336.31,1344.6,1346.74,1338.47,1363.91,1351.94,1352.72,1365.63,1378.19,1372.24,1350.43,1338.19,1353.2,1359.89,1345.33,1334.08,1342.43,1348.96,1332.91,1334.53,1377.09,1404.83,1388.29,1371.13,1342.37,1361.65,1398.5,1446.41,1444.2,1405.98,1421.87,1439.04,1422.61,1427.31,1415.59,1422.28,1444.12,1437.52,1447.27,1466.77,1476.24,1485.57,1499.68,1491.48,1481.6,1481.35,1482.93,1502.63,1504.11,1505.44
3.1.2.1. 주요국 통화의 대원화환율,3,원/유로,200,말일자료,원 ,원자료,1351.12,1349.86,1328.29,1342.33,1360.91,1344.42,1364.6,1373.7,1374.31,1368.78,1347.59,1342.34,1340.07,1342.09,1351.13,1332.74,1342.29,1350.05,1329.3,1350.26,1408.83,1413.34,1374.31,1351.2,1332.83,1397.76,1421.53,1477.64,1418.99,1426.55,1411.33,1444.36,1421.72,1435.86,1414.16,1426.59,1443.1,1445.92,1452.93,1477.48,1491.09,1487.07,1497.51,1479.58,1474.06,1502.19,1472.04,1528.73,1488.84,1496.97
3.1.2.1. 주요국 통화의 대원화환율,4,원/독일마르크,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,4,원/독일마르크,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,5,원/프랑스프랑,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,5,원/프랑스프랑,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,6,원/이태리리라(100리라),100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,6,원/이태리리라(100리라),200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,7,원/벨기에프랑,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,7,원/벨기에프랑,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,8,원/오스트리아실링,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,8,원/오스트리아실링,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,9,원/네덜란드길더,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
