통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,1,원/미국달러(매매기준율),100,평균자료,원 ,원자료,1323.57,1331.74,1330.69,1367.83,1365.39,1380.13,1383.38,1354.15,1334.82,1361,1393.38,1434.42,1455.79,1445.56
3.1.2.1. 주요국 통화의 대원화환율,1,원/미국달러(매매기준율),200,말일자료,원 ,원자료,1330.6,1334,1346.8,1378.7,1376.5,1389.2,1384.6,1335.3,1319.6,1383.3,1394.7,1470,1433.3,1439.6
3.1.2.1. 주요국 통화의 대원화환율,53,원/위안(매매기준율),100,평균자료,원 ,원자료,184.41,184.82,184.48,188.52,188.54,189.8,189.91,189.07,188.53,191.63,193.27,196.93,198.71,198.43
3.1.2.1. 주요국 통화의 대원화환율,53,원/위안(매매기준율),200,말일자료,원 ,원자료,185.15,184.86,185.75,190.05,189.18,190.43,190.39,187.56,188.74,193.56,192.42,201.27,197.26,197.58
3.1.2.1. 주요국 통화의 대원화환율,2,원/일본엔(100엔),100,평균자료,원 ,원자료,906.71,891.08,889.12,889.97,875.88,874.32,875.3,925.99,929.25,906.77,907.16,934.25,927.97,952.59
3.1.2.1. 주요국 통화의 대원화환율,2,원/일본엔(100엔),200,말일자료,원 ,원자료,901.89,885.76,889.48,882.68,877.84,864.31,905.44,921.75,924.51,902.2,920.87,936.48,927.88,961.82
3.1.2.1. 주요국 통화의 대원화환율,3,원/유로,100,평균자료,원 ,원자료,1444.12,1437.52,1447.27,1466.77,1476.24,1485.57,1499.68,1491.48,1481.6,1481.35,1482.93,1502.63,1504.11,1505.44
3.1.2.1. 주요국 통화의 대원화환율,3,원/유로,200,말일자료,원 ,원자료,1443.1,1445.92,1452.93,1477.48,1491.09,1487.07,1497.51,1479.58,1474.06,1502.19,1472.04,1528.73,1488.84,1496.97
3.1.2.1. 주요국 통화의 대원화환율,4,원/독일마르크,100,평균자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,4,원/독일마르크,200,말일자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,5,원/프랑스프랑,100,평균자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,5,원/프랑스프랑,200,말일자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,6,원/이태리리라(100리라),100,평균자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,6,원/이태리리라(100리라),200,말일자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,7,원/벨기에프랑,100,평균자료,원 ,원자료,,,,,,,,,,,,,,
