통계표,코드(구분코드),구분코드,코드(계정항목),계정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03
9.1.6.1. 주요국제금리,IRLT,장기금리,KOR,한국,% ,원자료,3.35,3.43,3.39,3.57,3.53,3.34,3.17,3,3.01,3.07,3.01,2.77,2.82,2.83,
9.1.6.1. 주요국제금리,IRLT,장기금리,USA,미국,% ,원자료,4.06,4.21,4.21,4.54,4.48,4.31,4.25,3.87,3.72,4.1,4.36,4.39,4.63,4.45,
9.1.6.1. 주요국제금리,IRLT,장기금리,CHN,중국,% ,원자료,2.43,2.34,2.29,2.3,2.29,2.21,2.15,2.17,2.15,2.15,2.02,1.68,1.63,,
9.1.6.1. 주요국제금리,IRLT,장기금리,JPN,일본,% ,원자료,0.73,0.71,0.73,0.87,1.07,1.05,1.05,0.89,0.86,0.94,1.05,1.09,1.25,1.37,
9.1.6.1. 주요국제금리,IRLT,장기금리,DEU,독일,% ,원자료,2.17,2.33,2.35,2.45,2.52,2.48,2.46,2.21,2.17,2.23,2.31,2.18,2.48,2.41,
9.1.6.1. 주요국제금리,IRLT,장기금리,IND,인도,% ,원자료,7.2,7.09,7.07,7.15,7.05,7.02,7.01,6.91,6.83,6.79,6.82,6.78,6.76,6.73,
9.1.6.1. 주요국제금리,IRLT,장기금리,GBR,영국,% ,원자료,3.93,4.12,4.03,4.22,4.22,4.16,4.14,3.94,3.91,4.2,4.42,4.43,4.66,4.51,
9.1.6.1. 주요국제금리,IRLT,장기금리,FRA,프랑스,% ,원자료,2.74,2.85,2.82,2.97,3.03,3.15,3.14,2.94,2.9,2.99,3.09,3.01,3.32,3.15,
9.1.6.1. 주요국제금리,IRLT,장기금리,CAN,캐나다,% ,원자료,3.35,3.5,3.44,3.7,3.64,3.39,3.41,3.07,2.94,3.19,3.28,3.16,3.29,3.06,
9.1.6.1. 주요국제금리,IRLT,장기금리,ITA,이탈리아,% ,원자료,3.81,3.87,3.7,3.86,3.84,3.94,3.83,3.68,3.57,3.5,3.57,3.32,3.68,3.58,
9.1.6.1. 주요국제금리,IRLT,장기금리,BRA,브라질,% ,원자료,6.53,6.53,6.53,6.67,6.67,6.67,6.91,6.91,6.91,7.43,7.43,7.43,7.97,7.97,7.97
9.1.6.1. 주요국제금리,IRLT,장기금리,AUS,오스트레일리아,% ,원자료,4.15,4.14,4.05,4.27,4.33,4.24,4.33,3.98,3.92,4.27,4.54,4.31,4.48,4.44,
9.1.6.1. 주요국제금리,IRLT,장기금리,MEX,멕시코,% ,원자료,9.31,,9.2,9.85,9.64,,9.95,9.74,9.21,10.06,10.02,10.43,10.33,9.85,
9.1.6.1. 주요국제금리,IRLT,장기금리,IDN,인도네시아,% ,원자료,6.56,6.6,6.68,7.22,6.9,7.03,6.89,6.62,6.43,6.76,6.82,7.01,,,
9.1.6.1. 주요국제금리,IRLT,장기금리,CHE,스위스,% ,원자료,0.83,0.83,0.64,0.69,0.92,0.56,0.45,0.45,0.41,0.45,0.29,0.32,0.38,0.4,
9.1.6.1. 주요국제금리,IRLT,장기금리,SWE,스웨덴,% ,원자료,2.23,2.43,2.4,2.51,2.38,2.26,2.13,1.93,1.93,2.04,2.07,2.1,2.32,2.26,
9.1.6.1. 주요국제금리,IRLT,장기금리,NOR,노르웨이,% ,원자료,3.5,3.7,3.61,3.74,3.68,3.54,3.54,3.3,3.3,3.54,3.67,3.6,3.88,3.88,
9.1.6.1. 주요국제금리,IRLT,장기금리,ZAF,남아프리카 공화국,% ,원자료,11.42,11.61,11.9,12.27,12.04,11.68,11.02,10.7,10.3,10.46,10.37,10.25,10.42,10.5,
9.1.6.1. 주요국제금리,IRLT,장기금리,DNK,덴마크,% ,원자료,2.4,2.48,2.39,2.48,2.52,2.52,2.45,2.2,2.11,2.1,2.07,1.91,2.21,2.17,
9.1.6.1. 주요국제금리,IRLT,장기금리,NZL,뉴질랜드,% ,원자료,4.65,4.81,4.65,4.83,4.75,4.64,4.51,4.22,4.19,4.39,4.62,4.49,4.65,4.62,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,KOR,한국,% ,원자료,3.74,3.69,3.65,3.57,3.6,3.6,3.54,3.5,3.52,3.43,3.42,3.35,3.04,2.95,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,USA,미국,% ,원자료,5.26,5.22,5.29,5.33,5.33,5.28,5.31,5.12,4.86,4.62,4.53,4.46,4.33,4.34,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,CHN,중국,% ,원자료,2.79,2.69,2.53,2.49,2.32,2.23,2.21,2.04,2.06,2.1,2.04,2,1.94,,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,JPN,일본,% ,원자료,0.03,0.03,0.11,0.11,0.13,0.15,0.17,0.26,0.26,0.26,0.36,0.39,0.77,,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,DEU,독일,% ,원자료,3.93,3.92,3.92,3.89,3.81,3.72,3.68,3.55,3.43,3.17,3.01,2.82,2.7,2.52,
9.1.6.1. 주요국제금리,IR3TIB,단기금리,IND,인도,% ,원자료,6.96,7.03,6.92,6.89,6.94,6.83,6.75,6.64,6.64,6.46,6.46,6.47,6.59,6.45,
